method,chunk_index,trajectory_count,trajectory_start,version_min,version_max,effective_threshold,frontier_trigger_rate,realized_turns_mean,realized_turns_median,available_turns_mean,masked_turns_mean,task_success_rate,prompt_truncated_rate
Fixed tau=0.1,0,16,0,0,0,0.1,0.9375,7.25,6.0,16.9375,9.6875,0.0625,0.9375
Fixed tau=0.1,1,16,16,0,0,0.1,0.6875,9.625,9.0,15.8125,6.1875,0.1875,0.8125
Fixed tau=0.1,2,16,32,2,2,0.1,0.5625,10.625,11.5,15.125,4.5,0.1875,0.8125
Fixed tau=0.1,3,16,48,3,3,0.1,0.875,8.75,6.5,16.125,7.375,0.125,0.875
Fixed tau=0.1,4,16,64,5,5,0.1,0.5625,13.0,14.0,17.1875,4.1875,0.0625,0.9375
Fixed tau=0.1,5,16,80,6,6,0.1,0.8125,9.625,8.5,17.5625,7.9375,0.0625,0.9375
Fixed tau=0.1,6,16,96,8,8,0.1,0.5,11.75,13.0,15.9375,4.1875,0.125,0.875
Fixed tau=0.1,7,16,112,9,9,0.1,0.5625,11.6875,10.0,17.5,5.8125,0.125,0.875
Fixed tau=0.1,8,16,128,11,11,0.1,0.75,11.0,11.0,18.5,7.5,0.125,0.875
Fixed tau=0.1,9,16,144,12,12,0.1,0.6875,10.625,8.5,18.8125,8.1875,0.0,1.0
Fixed tau=0.1,10,16,160,14,14,0.1,0.625,11.0,10.5,17.25,6.25,0.125,0.875
Fixed tau=0.1,11,16,176,15,15,0.1,0.6875,13.0,14.0,18.1875,5.1875,0.1875,0.8125
Fixed tau=0.1,12,16,192,17,17,0.1,0.25,13.375,15.5,16.25,2.875,0.125,0.875
Fixed tau=0.1,13,16,208,17,17,0.1,0.4375,12.8125,15.0,16.4375,3.625,0.1875,0.8125
Fixed tau=0.1,14,16,224,19,19,0.1,0.4375,13.25,13.5,18.875,5.625,0.0625,0.9375
Fixed tau=0.1,15,16,240,20,20,0.1,0.3125,14.5625,15.0,17.4375,2.875,0.1875,0.8125
Fixed tau=0.1,16,16,256,22,22,0.1,0.375,14.0625,12.5,16.8125,2.75,0.1875,0.8125
Fixed tau=0.1,17,16,272,23,23,0.1,0.625,11.8125,11.5,19.6875,7.875,0.0625,0.9375
Fixed tau=0.1,18,16,288,25,25,0.1,0.375,13.6875,15.0,16.6875,3.0,0.0625,0.9375
Fixed tau=0.1,19,16,304,26,26,0.1,0.3125,16.25,16.5,18.4375,2.1875,0.1875,0.8125
Fixed tau=0.1,20,16,320,28,28,0.1,0.3125,15.3125,16.5,17.0625,1.75,0.1875,0.8125
Fixed tau=0.1,21,16,336,29,29,0.1,0.375,16.1875,16.0,18.8125,2.625,0.125,0.875
Fixed tau=0.1,22,16,352,31,31,0.1,0.5,13.4375,13.0,17.4375,4.0,0.125,0.875
Fixed tau=0.1,23,16,368,32,32,0.1,0.375,13.0,12.5,18.5,5.5,0.1875,0.8125
Fixed tau=0.1,24,16,384,34,34,0.1,0.375,13.375,13.5,17.3125,3.9375,0.1875,0.8125
Fixed tau=0.1,25,16,400,35,35,0.1,0.3125,14.375,15.0,16.625,2.25,0.3125,0.6875
Fixed tau=0.1,26,16,416,37,37,0.1,0.5,11.0,9.5,15.375,4.375,0.3125,0.6875
Fixed tau=0.1,27,16,432,38,38,0.1,0.375,11.5625,11.5,14.75,3.1875,0.25,0.75
Fixed tau=0.1,28,16,448,40,40,0.1,0.3125,13.875,14.0,16.9375,3.0625,0.25,0.75
Fixed tau=0.1,29,16,464,41,41,0.1,0.5,8.75,6.0,13.75,5.0,0.375,0.625
Fixed tau=0.1,30,16,480,43,43,0.1,0.125,13.0,13.0,13.875,0.875,0.3125,0.6875
Fixed tau=0.1,31,16,496,44,44,0.1,0.25,12.3125,12.5,15.3125,3.0,0.25,0.75
Fixed tau=0.1,32,16,512,46,46,0.1,0.375,12.9375,11.0,15.4375,2.5,0.3125,0.6875
Fixed tau=0.1,33,16,528,47,47,0.1,0.5625,12.5625,12.0,16.625,4.0625,0.25,0.75
Fixed tau=0.1,34,16,544,48,48,0.1,0.25,11.8125,12.0,14.6875,2.875,0.375,0.625
Fixed tau=0.1,35,16,560,49,49,0.1,0.5625,10.4375,9.0,15.6875,5.25,0.3125,0.6875
Fixed tau=0.1,36,16,576,51,51,0.1,0.4375,9.75,7.0,15.3125,5.5625,0.25,0.75
Fixed tau=0.1,37,16,592,52,52,0.1,0.1875,13.5,12.5,15.625,2.125,0.1875,0.8125
Fixed tau=0.1,38,16,608,53,53,0.1,0.25,13.625,14.0,16.0625,2.4375,0.3125,0.6875
Fixed tau=0.1,39,16,624,55,55,0.1,0.4375,13.0,13.5,16.5625,3.5625,0.1875,0.8125
Fixed tau=0.1,40,16,640,56,56,0.1,0.4375,11.4375,10.0,15.625,4.1875,0.1875,0.8125
Fixed tau=0.1,41,16,656,58,58,0.1,0.125,9.9375,8.5,10.6875,0.75,0.6875,0.3125
Fixed tau=0.1,42,16,672,58,58,0.1,0.375,10.125,7.0,12.625,2.5,0.375,0.625
Fixed tau=0.1,43,16,688,60,60,0.1,0.4375,10.625,8.5,14.5,3.875,0.25,0.75
