method,version_bin_start,trajectory_count,version_min,version_max,effective_threshold,full_strategy_fraction,frontier_trigger_rate,imposed_horizon_mean,full_horizon_fraction,realized_turns_mean,realized_turns_median,available_turns_mean,masked_turns_mean,task_success_rate,prompt_truncated_rate
Fixed tau=0.1,0,64,0,3,0.1,0.0,0.765625,12.9375,0.234375,9.0625,7.0,16.0,6.9375,0.140625,0.859375
Fixed tau=0.1,5,64,5,9,0.1,0.0,0.609375,16.984375,0.390625,11.515625,10.5,17.046875,5.53125,0.09375,0.90625
Fixed tau=0.1,10,48,11,14,0.10000000000000002,0.0,0.6875,15.354166666666666,0.3125,10.875,10.0,18.1875,7.3125,0.08333333333333333,0.9166666666666666
Fixed tau=0.1,15,64,15,19,0.1,0.0,0.453125,21.0625,0.546875,13.109375,14.5,17.4375,4.328125,0.140625,0.859375
Fixed tau=0.1,20,48,20,23,0.10000000000000002,0.0,0.4375,21.125,0.5625,13.479166666666666,13.5,17.979166666666668,4.5,0.14583333333333334,0.8541666666666666
Fixed tau=0.1,25,64,25,29,0.1,0.0,0.34375,23.5625,0.65625,15.359375,15.0,17.75,2.390625,0.140625,0.859375
Fixed tau=0.1,30,48,31,34,0.10000000000000002,0.0,0.4166666666666667,21.3125,0.5833333333333334,13.270833333333334,13.0,17.75,4.479166666666667,0.16666666666666666,0.8333333333333334
Fixed tau=0.1,35,48,35,38,0.10000000000000002,0.0,0.3958333333333333,21.791666666666668,0.6041666666666666,12.3125,13.0,15.583333333333334,3.2708333333333335,0.2916666666666667,0.7083333333333334
Fixed tau=0.1,40,64,40,44,0.1,0.0,0.296875,23.625,0.703125,11.984375,11.0,14.96875,2.984375,0.296875,0.703125
Fixed tau=0.1,45,64,46,49,0.1,0.0,0.4375,21.265625,0.5625,11.9375,11.0,15.609375,3.671875,0.3125,0.6875
Fixed tau=0.1,50,48,51,53,0.10000000000000002,0.0,0.2916666666666667,23.1875,0.7083333333333334,12.291666666666666,11.5,15.666666666666666,3.375,0.25,0.75
Fixed tau=0.1,55,64,55,58,0.1,0.0,0.34375,22.3125,0.65625,11.125,10.0,13.875,2.75,0.359375,0.640625
Fixed tau=0.1,60,64,60,64,0.1,0.0,0.421875,20.625,0.578125,10.109375,8.0,13.703125,3.59375,0.375,0.625
Fixed tau=0.1,65,48,66,69,0.10000000000000002,0.0,0.4375,20.5625,0.5625,9.833333333333334,9.0,14.125,4.291666666666667,0.4791666666666667,0.5208333333333334
Fixed tau=0.1,70,48,70,73,0.10000000000000002,0.0,0.3541666666666667,22.458333333333332,0.6458333333333334,9.875,9.5,12.666666666666666,2.7916666666666665,0.3958333333333333,0.6041666666666666
Fixed tau=0.1,75,64,75,79,0.1,0.0,0.390625,21.53125,0.609375,9.703125,9.0,12.890625,3.1875,0.46875,0.53125
Fixed tau=0.1,80,48,81,84,0.10000000000000002,0.0,0.375,22.25,0.625,10.395833333333334,8.0,13.979166666666666,3.5833333333333335,0.4375,0.5625
Fixed tau=0.1,85,48,85,88,0.10000000000000002,0.0,0.3541666666666667,22.395833333333332,0.6458333333333334,9.020833333333334,7.0,12.020833333333334,3.0,0.5833333333333334,0.4166666666666667
Fixed tau=0.1,90,64,90,94,0.1,0.0,0.328125,23.03125,0.671875,9.96875,9.0,12.8125,2.84375,0.546875,0.453125
Fixed tau=0.1,95,48,96,99,0.10000000000000002,0.0,0.2708333333333333,24.75,0.7291666666666666,10.270833333333334,9.0,12.770833333333334,2.5,0.4791666666666667,0.5208333333333334
Fixed tau=0.1,100,48,100,103,0.10000000000000002,0.0,0.2708333333333333,24.145833333333332,0.7291666666666666,8.854166666666666,7.5,10.75,1.8958333333333333,0.625,0.375
Fixed tau=0.1,105,64,105,109,0.1,0.0,0.28125,23.765625,0.71875,9.953125,8.0,12.1875,2.234375,0.609375,0.390625
Fixed tau=0.1,110,48,111,114,0.10000000000000002,0.0,0.2916666666666667,24.4375,0.7083333333333334,9.125,8.0,11.458333333333334,2.3333333333333335,0.625,0.375
Fixed tau=0.1,115,48,115,118,0.10000000000000002,0.0,0.125,27.375,0.875,8.979166666666666,7.0,10.125,1.1458333333333333,0.6875,0.3125
Fixed tau=0.1,120,80,120,124,0.1,0.0,0.15,27.0,0.85,9.175,8.0,10.575,1.4,0.75,0.25
Fixed tau=0.1,125,48,126,129,0.10000000000000002,0.0,0.25,24.979166666666668,0.75,9.166666666666666,8.0,10.5625,1.3958333333333333,0.7083333333333334,0.2916666666666667
Fixed tau=0.1,130,64,130,134,0.1,0.0,0.15625,26.9375,0.84375,9.625,7.0,10.78125,1.15625,0.6875,0.3125
Fixed tau=0.1,135,48,135,138,0.10000000000000002,0.0,0.20833333333333334,25.645833333333332,0.7916666666666666,8.520833333333334,7.0,10.541666666666666,2.0208333333333335,0.7291666666666666,0.2708333333333333
Fixed tau=0.1,140,64,140,144,0.1,0.0,0.171875,26.390625,0.828125,9.359375,8.0,10.59375,1.234375,0.765625,0.234375
Fixed tau=0.1,145,48,146,149,0.10000000000000002,0.0,0.1875,25.833333333333332,0.8125,9.020833333333334,8.0,10.5625,1.5416666666666667,0.7291666666666666,0.2708333333333333
Fixed tau=0.1,150,48,150,153,0.10000000000000002,0.0,0.125,27.1875,0.875,8.291666666666666,7.5,9.666666666666666,1.375,0.7916666666666666,0.20833333333333334
Fixed tau=0.1,155,64,155,159,0.1,0.0,0.171875,26.46875,0.828125,9.765625,9.0,10.96875,1.203125,0.734375,0.265625
Fixed tau=0.1,160,48,161,164,0.10000000000000002,0.0,0.125,27.645833333333332,0.875,9.229166666666666,8.0,10.125,0.8958333333333334,0.7708333333333334,0.22916666666666666
Fixed tau=0.1,165,48,165,168,0.10000000000000002,0.0,0.125,27.708333333333332,0.875,9.583333333333334,8.0,10.5,0.9166666666666666,0.7083333333333334,0.2916666666666667
Fixed tau=0.1,170,64,170,174,0.1,0.0,0.078125,28.15625,0.921875,8.515625,7.5,9.28125,0.765625,0.765625,0.234375
Fixed tau=0.1,175,48,176,179,0.10000000000000002,0.0,0.041666666666666664,29.166666666666668,0.9583333333333334,8.604166666666666,7.5,8.875,0.2708333333333333,0.8125,0.1875
Fixed tau=0.1,180,48,180,183,0.10000000000000002,0.0,0.10416666666666667,27.5625,0.8958333333333334,9.5625,7.0,10.645833333333334,1.0833333333333333,0.6875,0.3125
Fixed tau=0.1,185,64,185,189,0.1,0.0,0.125,27.421875,0.875,8.546875,8.0,9.609375,1.0625,0.796875,0.203125
Fixed tau=0.1,190,48,191,194,0.10000000000000002,0.0,0.0625,28.645833333333332,0.9375,8.9375,7.0,9.645833333333334,0.7083333333333334,0.75,0.25
Fixed tau=0.1,195,48,195,198,0.10000000000000002,0.0,0.125,27.166666666666668,0.875,7.5,7.0,8.541666666666666,1.0416666666666667,0.8541666666666666,0.14583333333333334
Fixed tau=0.1,200,64,200,204,0.1,0.0,0.09375,28.09375,0.90625,8.015625,7.0,8.75,0.734375,0.890625,0.109375
Fixed tau=0.1,205,64,205,209,0.1,0.0,0.171875,26.53125,0.828125,8.84375,8.0,10.421875,1.578125,0.734375,0.265625
Fixed tau=0.1,210,48,210,213,0.10000000000000002,0.0,0.10416666666666667,27.979166666666668,0.8958333333333334,8.541666666666666,8.0,9.104166666666666,0.5625,0.8125,0.1875
Fixed tau=0.1,215,64,215,219,0.1,0.0,0.046875,28.90625,0.953125,7.96875,7.0,8.328125,0.359375,0.890625,0.109375
Fixed tau=0.1,220,64,220,224,0.1,0.0,0.03125,29.296875,0.96875,8.671875,7.0,9.078125,0.40625,0.84375,0.15625
Fixed tau=0.1,225,48,226,229,0.10000000000000002,0.0,0.0625,28.854166666666668,0.9375,8.583333333333334,8.0,8.958333333333334,0.375,0.8958333333333334,0.10416666666666667
Fixed tau=0.1,230,48,230,233,0.10000000000000002,0.0,0.125,27.8125,0.875,9.541666666666666,8.0,10.104166666666666,0.5625,0.7083333333333334,0.2916666666666667
Fixed tau=0.1,235,64,235,239,0.1,0.0,0.109375,28.09375,0.890625,9.046875,7.5,9.828125,0.78125,0.734375,0.265625
Fixed tau=0.1,240,48,241,244,0.10000000000000002,0.0,0.08333333333333333,28.4375,0.9166666666666666,9.833333333333334,8.5,10.395833333333334,0.5625,0.7708333333333334,0.22916666666666666
Fixed tau=0.1,245,56,245,250,0.1,0.0,0.07142857142857142,28.446428571428573,0.9285714285714286,8.0,7.0,8.678571428571429,0.6785714285714286,0.875,0.125
Linear anneal,0,64,0,3,0.1,0.0,0.765625,12.9375,0.234375,9.0625,7.0,16.0,6.9375,0.140625,0.859375
Linear anneal,5,64,5,9,0.1,0.0,0.609375,16.984375,0.390625,11.515625,10.5,17.046875,5.53125,0.09375,0.90625
Linear anneal,10,48,11,14,0.10000000000000002,0.0,0.6875,15.354166666666666,0.3125,10.875,10.0,18.1875,7.3125,0.08333333333333333,0.9166666666666666
Linear anneal,15,64,15,19,0.1,0.0,0.453125,21.0625,0.546875,13.109375,14.5,17.4375,4.328125,0.140625,0.859375
Linear anneal,20,48,20,23,0.10000000000000002,0.0,0.4375,21.125,0.5625,13.479166666666666,13.5,17.979166666666668,4.5,0.14583333333333334,0.8541666666666666
Linear anneal,25,64,25,29,0.1,0.0,0.34375,23.5625,0.65625,15.359375,15.0,17.75,2.390625,0.140625,0.859375
Linear anneal,30,48,31,34,0.10000000000000002,0.0,0.4166666666666667,21.3125,0.5833333333333334,13.270833333333334,13.0,17.75,4.479166666666667,0.16666666666666666,0.8333333333333334
Linear anneal,35,48,35,38,0.10000000000000002,0.0,0.3958333333333333,21.791666666666668,0.6041666666666666,12.3125,13.0,15.583333333333334,3.2708333333333335,0.2916666666666667,0.7083333333333334
Linear anneal,40,64,40,44,0.1,0.0,0.296875,23.625,0.703125,11.984375,11.0,14.96875,2.984375,0.296875,0.703125
Linear anneal,45,64,46,49,0.1,0.0,0.4375,21.265625,0.5625,11.9375,11.0,15.609375,3.671875,0.3125,0.6875
Linear anneal,50,48,51,53,0.10000000000000002,0.0,0.2916666666666667,23.1875,0.7083333333333334,12.291666666666666,11.5,15.666666666666666,3.375,0.25,0.75
Linear anneal,55,64,55,58,0.1,0.0,0.34375,22.3125,0.65625,11.125,10.0,13.875,2.75,0.359375,0.640625
