version_bin,threshold,trajectory_count,trigger_rate,mean_imposed_horizon,mean_realized_turns
0-79,0.05,912,0.5789473684210527,17.00548245614035,9.775219298245615
0-79,0.075,912,0.506578947368421,18.971491228070175,10.74780701754386
0-79,0.1,912,0.4440789473684211,20.57894736842105,11.604166666666666
0-79,0.125,912,0.3717105263157895,22.232456140350877,12.334429824561404
0-79,0.15,912,0.30153508771929827,23.847587719298247,13.091008771929825
0-79,0.175,912,0.2532894736842105,25.021929824561404,13.652412280701755
0-79,0.2,912,0.1962719298245614,26.24890350877193,14.157894736842104
0-79,0.25,912,0.12171052631578948,27.788377192982455,14.799342105263158
0-79,0.3,912,0.06140350877192982,28.98355263157895,15.304824561403509
80-119,0.05,416,0.41346153846153844,20.67548076923077,8.098557692307692
80-119,0.075,416,0.34134615384615385,22.53846153846154,8.896634615384615
80-119,0.1,416,0.28846153846153844,23.971153846153847,9.600961538461538
80-119,0.125,416,0.23798076923076922,25.134615384615383,10.084134615384615
80-119,0.15,416,0.20432692307692307,25.865384615384617,10.35576923076923
80-119,0.175,416,0.15144230769230768,26.95673076923077,10.79326923076923
80-119,0.2,416,0.10576923076923077,27.971153846153847,11.30048076923077
80-119,0.25,416,0.03365384615384615,29.408653846153847,11.786057692307692
80-119,0.3,416,0.009615384615384616,29.901442307692307,12.03125
120-159,0.05,464,0.2672413793103448,24.079741379310345,8.308189655172415
120-159,0.075,464,0.21120689655172414,25.540948275862068,8.851293103448276
120-159,0.1,464,0.17456896551724138,26.38362068965517,9.168103448275861
120-159,0.125,464,0.14439655172413793,27.049568965517242,9.431034482758621
120-159,0.15,464,0.10560344827586207,27.88362068965517,9.745689655172415
120-159,0.175,464,0.07327586206896551,28.53448275862069,10.019396551724139
120-159,0.2,464,0.05172413793103448,28.989224137931036,10.183189655172415
120-159,0.25,464,0.023706896551724137,29.55387931034483,10.355603448275861
120-159,0.3,464,0.00646551724137931,29.92241379310345,10.52801724137931
160-199,0.05,416,0.18990384615384615,25.72596153846154,7.987980769230769
160-199,0.075,416,0.13221153846153846,27.139423076923077,8.516826923076923
160-199,0.1,416,0.0985576923076923,27.923076923076923,8.788461538461538
160-199,0.125,416,0.07932692307692307,28.365384615384617,8.98076923076923
160-199,0.15,416,0.06009615384615385,28.783653846153847,9.170673076923077
160-199,0.175,416,0.040865384615384616,29.189903846153847,9.307692307692308
160-199,0.2,416,0.026442307692307692,29.454326923076923,9.401442307692308
160-199,0.25,416,0.014423076923076924,29.71875,9.545673076923077
160-199,0.3,416,0.009615384615384616,29.83173076923077,9.584134615384615
200-250,0.05,568,0.15140845070422534,26.720070422535212,8.121478873239436
200-250,0.075,568,0.12147887323943662,27.503521126760564,8.411971830985916
200-250,0.1,568,0.0897887323943662,28.239436619718308,8.66725352112676
200-250,0.125,568,0.07394366197183098,28.58274647887324,8.827464788732394
200-250,0.15,568,0.05985915492957746,28.871478873239436,8.93661971830986
200-250,0.175,568,0.04225352112676056,29.255281690140844,9.09330985915493
200-250,0.2,568,0.028169014084507043,29.5193661971831,9.190140845070422
200-250,0.25,568,0.014084507042253521,29.781690140845072,9.286971830985916
200-250,0.3,568,0.007042253521126761,29.89612676056338,9.31338028169014
80-250,0.05,1864,0.2473175965665236,24.49195278969957,8.133047210300429
80-250,0.075,1864,0.19527896995708155,25.825643776824034,8.652896995708154
80-250,0.1,1864,0.15718884120171675,26.75429184549356,9.02736051502146
80-250,0.125,1864,0.12929184549356224,27.38304721030043,9.292381974248928
80-250,0.15,1864,0.10354077253218884,27.93508583690987,9.506974248927039
80-250,0.175,1864,0.0740343347639485,28.548283261802574,9.75107296137339
80-250,0.2,1864,0.050965665236051505,29.02736051502146,9.955472103004292
80-250,0.25,1864,0.02092274678111588,29.627682403433475,10.168454935622318
80-250,0.3,1864,0.008047210300429184,29.88948497854077,10.282725321888412
