trainer_step,actor/final_loss,method,final_loss_rolling_mean_11
1,0.0331351418979466,Vanilla OPD,0.028155978406294992
2,0.025153516072102568,Vanilla OPD,0.02785519910905736
3,0.022682587111679215,Vanilla OPD,0.02979589570381307
4,0.02474337638440457,Vanilla OPD,0.029019691158367236
5,0.034685021312907335,Vanilla OPD,0.028476759822888657
6,0.028536227658729662,Vanilla OPD,0.028301947830754605
7,0.026050523325631566,Vanilla OPD,0.028102162236534233
8,0.04338077186710305,Vanilla OPD,0.028354489900081103
9,0.02281005479480055,Vanilla OPD,0.028691098302807163
10,0.023590377803581457,Vanilla OPD,0.02893159391828432
11,0.026553827909414063,Vanilla OPD,0.028782492416784256
12,0.03093750036152249,Vanilla OPD,0.02802753822414994
13,0.027929120371118187,Vanilla OPD,0.027794950996275027
14,0.02638527954166586,Vanilla OPD,0.025852407014626454
15,0.02738882815465331,Vanilla OPD,0.02574370640533002
16,0.03304490479640663,Vanilla OPD,0.02498354496141669
17,0.020231731539752218,Vanilla OPD,0.02402120589590182
18,0.02349206381900744,Vanilla OPD,0.02333109230910865
19,0.0220127880689688,Vanilla OPD,0.0233913172299321
20,0.021614348092539745,Vanilla OPD,0.022679627246673193
21,0.015228601920534856,Vanilla OPD,0.022257847322550355
22,0.015968098188750446,Vanilla OPD,0.021359697148322202
23,0.02334625090679765,Vanilla OPD,0.02125323288534057
24,0.02859159450017614,Vanilla OPD,0.022655829514773105
25,0.01855668972581787,Vanilla OPD,0.022781766921343285
26,0.022749248989302116,Vanilla OPD,0.023323735604904094
27,0.02316525287989696,Vanilla OPD,0.024186004968513575
28,0.01906062464695424,Vanilla OPD,0.02509688547933585
29,0.03892062674276531,Vanilla OPD,0.024652735055283436
30,0.023398099541240794,Vanilla OPD,0.023543432835049945
31,0.027576003611708682,Vanilla OPD,0.024912641580847886
32,0.02471356492023915,Vanilla OPD,0.024783080628865913
33,0.025987783807795494,Vanilla OPD,0.025759429934889347
34,0.018460596242221072,Vanilla OPD,0.02546628584744365
35,0.016389270077607678,Vanilla OPD,0.023326829612710816
36,0.033617985929595307,Vanilla OPD,0.02282624170746168
37,0.02132407851750031,Vanilla OPD,0.022639034898701824
38,0.033905095246154815,Vanilla OPD,0.022055080068047853
39,0.01583603968505155,Vanilla OPD,0.022552648909022553
40,0.01538660816070412,Vanilla OPD,0.02238311152215981
41,0.017891632583500308,Vanilla OPD,0.02259933291256836
42,0.02551672871535023,Vanilla OPD,0.022394069782243894
43,0.01829006178304553,Vanilla OPD,0.02212883130090693
44,0.031461041058517165,Vanilla OPD,0.02189785275468907
45,0.016595684986730867,Vanilla OPD,0.022962389121232375
46,0.018767705372101772,Vanilla OPD,0.0231287222460171
47,0.03136009149602614,Vanilla OPD,0.024121506773411783
48,0.018406455222793737,Vanilla OPD,0.02421825047263143
49,0.03136433123775836,Vanilla OPD,0.02345753071884211
50,0.027545939717027876,Vanilla OPD,0.021854420889996437
51,0.01721627253333612,Vanilla OPD,0.023759352589435997
52,0.02881226238484184,Vanilla OPD,0.02333217073658299
53,0.026580909406766294,Vanilla OPD,0.021944080873678794
54,0.009922144491363062,Vanilla OPD,0.023886987824145247
55,0.013826832941214723,Vanilla OPD,0.02213553674535319
56,0.03754993368056603,Vanilla OPD,0.020575915822544845
57,0.014068704990718701,Vanilla OPD,0.022241546068301764
58,0.01609110300407999,Vanilla OPD,0.020481120038087063
59,0.03977843167792473,Vanilla OPD,0.020866487622671178
60,0.012098369371045692,Vanilla OPD,0.022644654721588605
