left,right,split,task_count,both_success,left_only_success,right_only_success,both_failure,mcnemar_exact_pvalue
vanilla_opd_step250,tcod_f2b_step250,all,274,208,10,24,32,0.024306510109454393
vanilla_opd_step250,tcod_f2b_step250,seen,140,110,5,12,13,0.143463134765625
vanilla_opd_step250,tcod_f2b_step250,unseen,134,98,5,12,19,0.143463134765625
vanilla_opd_step250,tau0.050_4gpu,all,274,201,17,23,33,0.42959050784338615
vanilla_opd_step250,tau0.050_4gpu,seen,140,106,9,11,14,0.8238029479980469
vanilla_opd_step250,tau0.050_4gpu,unseen,134,95,8,12,19,0.5034446716308594
vanilla_opd_step250,tau0.075_4gpu,all,274,199,19,21,35,0.8746293123804207
vanilla_opd_step250,tau0.075_4gpu,seen,140,105,10,10,15,1.0
vanilla_opd_step250,tau0.075_4gpu,unseen,134,94,9,11,20,0.8238029479980469
vanilla_opd_step250,tau0.100_4gpu,all,274,209,9,29,27,0.0016580525261815637
vanilla_opd_step250,tau0.100_4gpu,seen,140,111,4,12,13,0.076812744140625
vanilla_opd_step250,tau0.100_4gpu,unseen,134,98,5,17,14,0.01690053939819336
vanilla_opd_step250,tau0.125_4gpu,all,274,205,13,21,35,0.22948101302608848
vanilla_opd_step250,tau0.125_4gpu,seen,140,109,6,9,16,0.60723876953125
vanilla_opd_step250,tau0.125_4gpu,unseen,134,96,7,12,19,0.359283447265625
vanilla_opd_step250,tau0.125_8gpu,all,274,203,15,19,37,0.6075913612730801
vanilla_opd_step250,tau0.125_8gpu,seen,140,109,6,6,19,1.0
vanilla_opd_step250,tau0.125_8gpu,unseen,134,94,9,13,18,0.5234670639038086
vanilla_opd_step250,step80_to_immediate_vanilla,all,274,192,26,19,37,0.3712980344710104
vanilla_opd_step250,step80_to_immediate_vanilla,seen,140,102,13,6,19,0.1670684814453125
vanilla_opd_step250,step80_to_immediate_vanilla,unseen,134,90,13,13,18,1.0
vanilla_opd_step250,step80_to_linear_anneal,all,274,203,15,21,35,0.40503224614076316
vanilla_opd_step250,step80_to_linear_anneal,seen,140,109,6,9,16,0.60723876953125
vanilla_opd_step250,step80_to_linear_anneal,unseen,134,94,9,12,19,0.6636238098144531
tcod_f2b_step250,tau0.050_4gpu,all,274,210,22,14,28,0.2429849540349096
tcod_f2b_step250,tau0.050_4gpu,seen,140,111,11,6,12,0.332305908203125
tcod_f2b_step250,tau0.050_4gpu,unseen,134,99,11,8,16,0.6476058959960938
tcod_f2b_step250,tau0.075_4gpu,all,274,211,21,9,33,0.04277394525706768
tcod_f2b_step250,tau0.075_4gpu,seen,140,109,13,6,12,0.1670684814453125
tcod_f2b_step250,tau0.075_4gpu,unseen,134,102,8,3,21,0.2265625
tcod_f2b_step250,tau0.100_4gpu,all,274,220,12,18,24,0.361594608053565
tcod_f2b_step250,tau0.100_4gpu,seen,140,116,6,7,11,1.0
tcod_f2b_step250,tau0.100_4gpu,unseen,134,104,6,11,13,0.332305908203125
tcod_f2b_step250,tau0.125_4gpu,all,274,212,20,14,28,0.39152830513194203
tcod_f2b_step250,tau0.125_4gpu,seen,140,112,10,6,12,0.454498291015625
tcod_f2b_step250,tau0.125_4gpu,unseen,134,100,10,8,16,0.8145294189453125
tcod_f2b_step250,tau0.125_8gpu,all,274,206,26,16,26,0.16414940178310644
tcod_f2b_step250,tau0.125_8gpu,seen,140,109,13,6,12,0.1670684814453125
tcod_f2b_step250,tau0.125_8gpu,unseen,134,97,13,10,14,0.6776394844055176
tcod_f2b_step250,step80_to_immediate_vanilla,all,274,202,30,9,33,0.0010650196345523
tcod_f2b_step250,step80_to_immediate_vanilla,seen,140,106,16,2,16,0.001312255859375
tcod_f2b_step250,step80_to_immediate_vanilla,unseen,134,96,14,7,17,0.18924713134765625
tcod_f2b_step250,step80_to_linear_anneal,all,274,207,25,17,25,0.27995623852893914
tcod_f2b_step250,step80_to_linear_anneal,seen,140,111,11,7,11,0.480682373046875
