training_step,model_version,trajectories,success_rate,frontier_trigger_rate,retained_fraction,mean_env_rounds,mean_full_turns,mean_retained_turns,teacher_entropy,student_entropy,sampled_reverse_kl,valid_action_rate,prompt_truncated_turn_rate,recorded_turns,success_rate_smooth,frontier_trigger_rate_smooth,retained_fraction_smooth,teacher_entropy_smooth,student_entropy_smooth,sampled_reverse_kl_smooth,valid_action_rate_smooth,prompt_truncated_turn_rate_smooth,mean_env_rounds_smooth
1,0.0,16,0.125,0.5,0.6645833333333333,27.4375,27.4375,17.375,0.36324603285234996,0.7028736939585828,0.29133749489704003,0.45558086560364464,0.4031890660592255,439,0.09375,0.53125,0.6332465277777778,0.35905973178646305,0.6484118140930343,0.36981094807921305,0.43841444717014194,0.41898636907890896,27.953125
2,1.0,16,0.25,0.5625,0.6059027777777778,24.375,24.375,13.5625,0.42117178585008597,0.6684633931717916,0.5851058148051128,0.4564102564102564,0.41025641025641024,390,0.075,0.5625,0.6053472222222223,0.3486716568189395,0.6388248578403533,0.3507329470286659,0.4336482244027803,0.41602242859646055,28.3625
3,3.0,16,0.0,0.5625,0.6104166666666666,30.0,30.0,18.3125,0.3011399899107065,0.6144715945261818,0.2646889072695254,0.4354166666666667,0.43125,480,0.08333333333333333,0.6041666666666666,0.5791087962962963,0.3523483520848047,0.6287243254055244,0.342010171152072,0.44028207490792154,0.41084464919911534,28.34375
4,4.0,16,0.0,0.5,0.6520833333333333,30.0,30.0,19.5625,0.3506811185327098,0.607838574715581,0.338111575345174,0.40625,0.43125,480,0.08928571428571429,0.5446428571428571,0.6245652427637722,0.3355633016526595,0.6066532814231328,0.32630887546278436,0.4462621866557695,0.41305816870128254,28.294642857142858
5,6.0,16,0.0,0.6875,0.49375,30.0,30.0,14.8125,0.3071193569488454,0.6004770328296292,0.27442094282647744,0.41458333333333336,0.4041666666666667,480,0.09821428571428571,0.5178571428571429,0.6283992763772176,0.3187338342109224,0.567515341001587,0.3215411646730862,0.4564315766108316,0.4050161699708884,28.017857142857142
6,7.0,16,0.125,0.8125,0.4479166666666667,28.25,28.25,12.5,0.37073182841413055,0.5782216632313799,0.29839629176910226,0.47345132743362833,0.38495575221238937,452,0.07142857142857142,0.5178571428571429,0.6320203081232493,0.2968225718066418,0.5365461133095992,0.2768683667031909,0.4625044094655219,0.39670123077042013,28.669642857142858
7,9.0,16,0.125,0.1875,0.8973039215686275,28.0,28.0,25.0625,0.2348529990597888,0.47422701752878377,0.23210110132705836,0.48214285714285715,0.4263392857142857,448,0.09821428571428571,0.48214285714285715,0.6608893557422969,0.2890269238163294,0.5005500487327426,0.2740660721633624,0.4763333957139592,0.3838496283155956,28.125
8,10.0,16,0.1875,0.3125,0.691421568627451,25.5,29.1875,20.3125,0.24543976076018947,0.4289081110077617,0.25796351936915296,0.5267665952890792,0.3468950749464668,467,0.125,0.4375,0.692436974789916,0.2678524760136006,0.4631797672966559,0.2575128774148531,0.4890427258574999,0.37384877390684645,27.571428571428573
9,11.0,16,0.0625,0.5625,0.63125,28.9375,28.9375,17.875,0.26779294902012196,0.4516787993278776,0.2723962290158462,0.49892008639308855,0.35205183585313177,463,0.13392857142857142,0.39285714285714285,0.7326155462184875,0.2659568441956437,0.43489208920756456,0.26053269374893656,0.496865765221237,0.3614142123443779,27.508928571428573
10,13.0,16,0.1875,0.3125,0.8125,26.1875,26.1875,20.5625,0.2465704539785194,0.36249914248818466,0.24507284549072555,0.5322195704057279,0.3412887828162291,419,0.14285714285714285,0.32142857142857145,0.7856527867557279,0.23834779929272235,0.3958982295441084,0.25094427620510096,0.49813742432735725,0.3622188527846249,27.267857142857142
