training_step,model_version,trajectories,success_rate,frontier_trigger_rate,retained_fraction,mean_env_rounds,mean_full_turns,mean_retained_turns,teacher_entropy,student_entropy,sampled_reverse_kl,valid_action_rate,prompt_truncated_turn_rate,recorded_turns,success_rate_smooth,frontier_trigger_rate_smooth,retained_fraction_smooth,teacher_entropy_smooth,student_entropy_smooth,sampled_reverse_kl_smooth,valid_action_rate_smooth,prompt_truncated_turn_rate_smooth,mean_env_rounds_smooth,real_response_turns
1,0.0,16,0.125,0.5,0.6645833333333333,27.4375,27.4375,17.375,0.6049501602283982,0.7028736939585828,0.48758505043749684,0.7633587786259542,0.4031890660592255,439,0.09375,0.53125,0.6332465277777778,0.5533020716615437,0.6484118140930343,0.4802583082074383,0.7542813254894237,0.41898636907890896,27.953125,262
2,1.0,16,0.25,0.5625,0.6059027777777778,24.375,24.375,13.5625,0.5806686873987366,0.6684633931717916,0.5069864432215253,0.7739130434782608,0.41025641025641024,390,0.075,0.5625,0.6053472222222223,0.5453306835331162,0.6388248578403533,0.47625447548960986,0.7425858995523782,0.41602242859646055,28.3625,230
3,3.0,16,0.0,0.5625,0.6104166666666666,30.0,30.0,18.3125,0.5185198091003524,0.6144715945261818,0.463053548260401,0.7655677655677655,0.43125,480,0.08333333333333333,0.6041666666666666,0.5791087962962963,0.5391964465691114,0.6287243254055244,0.47294758297812406,0.7471189450706269,0.41084464919911534,28.34375,273
4,4.0,16,0.0,0.5,0.6520833333333333,30.0,30.0,19.5625,0.5090696299186873,0.607838574715581,0.4634081909103302,0.7142857142857143,0.43125,480,0.08928571428571429,0.5446428571428571,0.6245652427637722,0.5206407807917326,0.6066532814231328,0.4631820172566731,0.7604543709276858,0.41305816870128254,28.294642857142858,273
5,6.0,16,0.0,0.6875,0.49375,30.0,30.0,14.8125,0.5134451310194064,0.6004770328296292,0.4602391446182962,0.6958041958041958,0.4041666666666667,480,0.09821428571428571,0.5178571428571429,0.6283992763772176,0.4875252076822214,0.567515341001587,0.44988670131719904,0.766625599273861,0.4050161699708884,28.017857142857142,286
6,7.0,16,0.125,0.8125,0.4479166666666667,28.25,28.25,12.5,0.5085252617490876,0.5782216632313799,0.45641312042069493,0.7697841726618705,0.38495575221238937,452,0.07142857142857142,0.5178571428571429,0.6320203081232493,0.4636085198739316,0.5365461133095992,0.4375164576282574,0.7660665930626808,0.39670123077042013,28.669642857142858,278
7,9.0,16,0.125,0.1875,0.8973039215686275,28.0,28.0,25.0625,0.4093067861274595,0.47422701752878377,0.40458862292796677,0.8404669260700389,0.4263392857142857,448,0.09821428571428571,0.48214285714285715,0.6608893557422969,0.4360161840990747,0.5005500487327426,0.420255743440879,0.7721242000519648,0.3838496283155956,28.125,257
8,10.0,16,0.1875,0.3125,0.691421568627451,25.5,29.1875,20.3125,0.37314114846182006,0.4289081110077617,0.39451783886117897,0.8065573770491803,0.3468950749464668,467,0.125,0.4375,0.692436974789916,0.40856562154290765,0.4631797672966559,0.4037576189711722,0.7808377978506347,0.37384877390684645,27.571428571428573,305
9,11.0,16,0.0625,0.5625,0.63125,28.9375,28.9375,17.875,0.41325187274070735,0.4516787993278776,0.42039473739893407,0.77,0.35205183585313177,463,0.13392857142857142,0.39285714285714285,0.7326155462184875,0.390412543316356,0.43489208920756456,0.39212245038894455,0.7796238415283193,0.3614142123443779,27.508928571428573,300
10,13.0,16,0.1875,0.3125,0.8125,26.1875,26.1875,20.5625,0.3253734586763551,0.36249914248818466,0.34222854894875204,0.8079710144927537,0.3412887828162291,419,0.14285714285714285,0.32142857142857145,0.7856527867557279,0.3592903855108678,0.3958982295441084,0.38112730767218117,0.7827269299345938,0.3622188527846249,27.267857142857142,276
11,14.0,16,0.1875,0.1875,0.8729166666666667,26.125,26.125,22.3125,0.3169156920255176,0.3462466046629744,0.347921319622382,0.7752808988764045,0.361244019138756,418,0.15178571428571427,0.30357142857142855,0.7967522265316384,0.33556628016698975,0.3632307867408097,0.3694377912656505,0.7900454763392349,0.3495018939915382,27.0,267
12,16.0,16,0.0625,0.375,0.775,29.5625,29.5625,22.8125,0.3863735834335447,0.40246328620599,0.37879296454270356,0.6873065015479877,0.3171247357293869,473,0.125,0.2857142857142857,0.8283348595848595,0.3123824547632162,0.33023082937035564,0.35351906177230136,0.7884797773717419,0.3481597404277572,27.642857142857142,323
13,17.0,16,0.1875,0.3125,0.8191773504273504,26.5625,26.5625,22.125,0.29067015711067,0.30526464558718663,0.37944712140335063,0.7915057915057915,0.3905882352941176,425,0.125,0.26785714285714285,0.8397931929181929,0.28681852900459376,0.29751555706921234,0.34300146314822644,0.7686044178319529,0.35014625627852564,27.705357142857142,259
14,19.0,16,0.1875,0.0625,0.975,26.125,26.125,25.875,0.24323804872031335,0.24555491790569317,0.3227620080822527,0.8916967509025271,0.3373205741626794,418,0.125,0.23214285714285715,0.859138431013431,0.2674546029167854,0.2700361973331591,0.3409796176945749,0.7736379264634012,0.34662881111430244,27.714285714285715,277
15,20.0,16,0.0,0.1875,0.9125,30.0,30.0,27.375,0.21085437063540519,0.19790840941458315,0.2830867324077343,0.7955974842767296,0.3375,480,0.14285714285714285,0.22321428571428573,0.8644955738705739,0.25063610801101477,0.2457515109756541,0.33388300060149095,0.7803950330755278,0.34108029003515156,27.25,318
16,22.0,16,0.0625,0.4375,0.7114583333333333,29.375,29.375,21.0,0.2343043924303505,0.22267189321987435,0.34677154703040985,0.6308724832214765,0.3659574468085106,470,0.14285714285714285,0.21428571428571427,0.8698155143467643,0.22560539079356495,0.21466981424974266,0.3270570202211283,0.780489807827534,0.3570888348389853,27.1875,298
17,23.0,16,0.1875,0.0625,0.9479166666666666,26.25,26.25,24.6875,0.18982597606169654,0.170143624335812,0.32807563077319113,0.8432055749128919,0.31666666666666665,420,0.13392857142857142,0.20535714285714285,0.8682663690476191,0.20810711844014967,0.19234974609651007,0.31205435319840996,0.7814526396174334,0.3358169646718497,27.419642857142858,287
18,25.0,16,0.3125,0.125,0.9104166666666667,22.875,22.875,20.1875,0.19918622768512326,0.1762538001604394,0.2982449999707946,0.8225806451612904,0.3224043715846995,366,0.16071428571428573,0.21428571428571427,0.8671903617216117,0.19774625839148158,0.17988391938633727,0.3103864400691511,0.7739431658860164,0.3355226134496007,26.776785714285715,248
19,26.0,16,0.0625,0.3125,0.8122395833333333,29.125,29.125,23.875,0.21115856291139593,0.18489140912460975,0.3310111018801651,0.6879699248120301,0.4291845493562232,466,0.19642857142857142,0.23214285714285715,0.8582617902930403,0.19396337527090993,0.17633139317987395,0.31110698078126936,0.7896370317685616,0.32943286985985715,25.973214285714285,266
20,28.0,16,0.125,0.25,0.8083333333333333,28.1875,28.1875,22.4375,0.16818225063676298,0.14902416851455857,0.2744284522443221,0.7982456140350878,0.24168514412416853,451,0.22321428571428573,0.19642857142857142,0.8808808379120879,0.18855140498888454,0.17034399214397064,0.3078651481030663,0.8091089016682199,0.32477228222054605,25.285714285714285,342
21,29.0,16,0.375,0.125,0.9674679487179487,21.625,21.625,20.8125,0.1707120283796367,0.15829413093448344,0.3110866161774406,0.8391304347826087,0.3352601156069364,346,0.22321428571428573,0.22321428571428573,0.8654046474358975,0.18705544036043248,0.1706828556604234,0.29951465780598213,0.8053176290616161,0.323869162351909,25.419642857142858,230
22,31.0,16,0.25,0.3125,0.85,24.375,24.375,19.875,0.18437418879140352,0.1730407259693401,0.2881305173925626,0.9054545454545454,0.2948717948717949,390,0.24107142857142858,0.23214285714285715,0.8664463141025641,0.1880945501123468,0.17373900623281888,0.3030322530984479,0.8053176290616161,0.3208697450832698,25.321428571428573,275
23,32.0,16,0.25,0.1875,0.8697916666666666,24.5625,24.5625,21.3125,0.19642060045617277,0.1807600859685513,0.32407871828298795,0.767175572519084,0.3333333333333333,393,0.2857142857142857,0.22321428571428573,0.8792811355311355,0.1870529015003228,0.17485631545030558,0.29889592042680924,0.8267273309224458,0.2993507426085845,24.366071428571427,262
24,34.0,16,0.1875,0.25,0.8395833333333333,27.1875,27.1875,22.375,0.17935422366253218,0.17251566895098114,0.2696221986936023,0.8166666666666667,0.3103448275862069,435,0.33035714285714285,0.19642857142857142,0.9041110675039247,0.1891749461772269,0.17860344554617616,0.3010892538309505,0.8366814615319885,0.3175453818833632,23.339285714285715,300
25,35.0,16,0.4375,0.1875,0.9177083333333333,22.1875,22.1875,20.0,0.20645999594852352,0.197646854167208,0.3228681670180545,0.8225806451612904,0.30140845070422534,355,0.29464285714285715,0.19642857142857142,0.8983418367346939,0.1937439159140258,0.18298061193857176,0.30045531664469066,0.8436672405674569,0.3284173134200346,24.178571428571427,248
26,37.0,16,0.375,0.25,0.9020833333333333,22.4375,22.4375,19.5,0.20386702262722792,0.19271257364701644,0.3020567731786945,0.8378378378378378,0.2785515320334262,359,0.32142857142857145,0.15178571428571427,0.9197704081632654,0.19541914296069504,0.1837863022797427,0.3047661361957367,0.8350062463892215,0.3302160122336587,23.6875,259
27,38.0,16,0.4375,0.0625,0.9821428571428572,21.0,21.0,20.625,0.18303656337509158,0.1752540791856528,0.28978178607331084,0.8679245283018868,0.36904761904761907,336,0.32142857142857145,0.16071428571428573,0.9220025510204082,0.19446073101641503,0.18233530381197507,0.30067765857893886,0.8344171944344012,0.33401084636268313,23.651785714285715,212
28,40.0,16,0.125,0.125,0.9270833333333334,27.5,27.5,25.3125,0.2026948165372292,0.18893429568125272,0.3066490558736218,0.888030888030888,0.4113636363636364,440,0.32142857142857145,0.14285714285714285,0.9321215986394558,0.19240192460773028,0.1786896287979765,0.2954070305153282,0.8374416474588541,0.34443777575512974,23.517857142857142,259
29,40.0,16,0.4375,0.0,1.0,20.9375,20.9375,20.9375,0.19610077811808804,0.17868055835753663,0.31830625424988535,0.8448275862068966,0.3074626865671642,335,0.3125,0.15178571428571427,0.9255243764172336,0.1888937280498007,0.17498321505579437,0.2886758100992343,0.8325795917938995,0.3482940494922269,23.366071428571427,232
30,42.0,16,0.25,0.25,0.8854166666666666,24.3125,24.3125,20.875,0.1897117168462128,0.17060309669417786,0.295459374965403,0.7630522088353414,0.35989717223650386,389,0.30357142857142855,0.13392857142857142,0.9290958049886621,0.18780623429063706,0.17295067714689713,0.28709758983869493,0.8343459619813223,0.3567583461416072,23.491071428571427,249
31,43.0,16,0.1875,0.125,0.9104166666666667,26.25,26.25,23.5625,0.16494257880173901,0.14699594385299125,0.23272780224832756,0.8378378378378378,0.38333333333333336,420,0.29464285714285715,0.15178571428571427,0.910218253968254,0.1863586157457926,0.17031380858639697,0.2841133492794027,0.8417612041708659,0.3520564653893063,23.678571428571427,259
32,44.0,16,0.375,0.25,0.8715277777777778,21.125,21.125,17.5625,0.18190262004301633,0.17170195797193294,0.2757496241053973,0.788546255506608,0.32840236686390534,338,0.32142857142857145,0.14285714285714285,0.9134920634920635,0.18151136154651906,0.16480102468248697,0.2769765273025563,0.8315052653434984,0.34555503998544185,23.044642857142858,227
33,46.0,16,0.3125,0.125,0.9270833333333334,23.3125,23.3125,21.125,0.19625456631308255,0.17848480828473576,0.2910092313549188,0.8502024291497976,0.3378016085790885,373,0.30357142857142855,0.15178571428571427,0.9069444444444444,0.1794381286550415,0.1643604451045643,0.27484202132940866,0.8330916392267749,0.35691936862055945,23.491071428571427,247
34,47.0,16,0.375,0.1875,0.85,22.3125,22.3125,17.8125,0.17290323356118023,0.15679599926215157,0.2688921021582652,0.919831223628692,0.33613445378151263,357,0.30357142857142855,0.13392857142857142,0.9161706349206348,0.1818335792756876,0.16628011422230046,0.27723673493591283,0.8309366779181255,0.3587124839570356,23.517857142857142,237
35,49.0,16,0.3125,0.0625,0.95,23.0625,23.0625,21.5625,0.1687640371423143,0.1503448083538827,0.25669130203569707,0.8162393162393162,0.36585365853658536,369,0.30357142857142855,0.14285714285714285,0.910218253968254,0.18173980198934112,0.1667472144996294,0.27770984268246385,0.8294721592122275,0.3569626273879019,23.473214285714285,234
36,50.0,16,0.3125,0.0625,0.9541666666666666,24.0625,24.0625,22.6875,0.18158814787774533,0.17559650131207802,0.3033647124378517,0.8559322033898306,0.38701298701298703,385,0.29464285714285715,0.13392857142857142,0.9148809523809524,0.17795925682133043,0.16329734759727593,0.27363980893850914,0.822977408990222,0.35652419402639157,23.803571428571427,236
37,52.0,16,0.25,0.125,0.95,24.5,24.5,23.0,0.20647987119073566,0.1840407805183309,0.31222237021093247,0.7479674796747967,0.37244897959183676,392,0.2767857142857143,0.125,0.9190476190476191,0.17638788552479517,0.16181723806933293,0.27234289414099144,0.8123185692804084,0.36534213376669744,24.25,246
38,53.0,16,0.1875,0.1875,0.86875,25.9375,25.9375,22.0,0.1642861377973135,0.15026564579429397,0.2360395564741844,0.8275862068965517,0.3710843373493976,415,0.26785714285714285,0.09821428571428571,0.9404761904761905,0.1737115049208867,0.15998306190245906,0.26633988135534653,0.8037954646942271,0.36730324879121967,24.303571428571427,261
39,55.0,16,0.3125,0.1875,0.9041666666666667,23.4375,23.4375,20.5625,0.15543880386694148,0.14755288965545862,0.24725938789771434,0.7430830039525692,0.3253333333333333,375,0.2767857142857143,0.14285714285714285,0.9184523809523809,0.1794316243107601,0.16498263761907103,0.27505886211880753,0.7917816848233044,0.36294009367174984,24.017857142857142,253
40,56.0,16,0.1875,0.0625,0.95625,26.4375,26.4375,25.125,0.1852549672373359,0.16812404158913474,0.28193082777229483,0.7755905511811023,0.39952718676122934,423,0.2767857142857143,0.15178571428571427,0.9119047619047619,0.1791862210868619,0.16487690292052987,0.275350427003051,0.7758331182594604,0.3650295732787939,23.848214285714285,254
41,58.0,16,0.3125,0.0,1.0,22.6875,22.6875,22.6875,0.1541685693338208,0.1439567660940343,0.226871012658751,0.8601694915254238,0.349862258953168,363,0.29464285714285715,0.16071428571428573,0.9023809523809525,0.17606861148699718,0.1623128271834549,0.26943815580849345,0.785572549414182,0.3654440247736775,23.535714285714285,236
42,59.0,16,0.375,0.375,0.7958333333333334,21.0625,21.0625,14.9375,0.20880487287142802,0.18534183837016666,0.31772416737992426,0.7321428571428571,0.3353115727002967,337,0.3482142857142857,0.15178571428571427,0.9092261904761905,0.17629008876853117,0.16265292951657087,0.2753093536139396,0.7674266586791622,0.36093943926747357,22.223214285714285,224
43,61.0,16,0.3125,0.125,0.9083333333333333,22.875,22.875,20.125,0.17987032531045793,0.17485635842228991,0.3054056666275558,0.7442922374429224,0.4016393442622951,366,0.36607142857142855,0.13392857142857142,0.9172619047619047,0.1781151880568006,0.16540416970454164,0.2822146797953246,0.7822054657524159,0.3685291828572172,21.776785714285715,219
44,62.0,16,0.375,0.1875,0.8833333333333333,22.3125,22.3125,18.8125,0.18465660399168257,0.16609225035880626,0.27083647184902976,0.8161434977578476,0.3753501400560224,357,0.39285714285714285,0.15178571428571427,0.9047619047619048,0.17579516654616398,0.16356642090549345,0.28164314450023814,0.7898902279059621,0.36892048317016174,21.151785714285715,223
