turn,task_success,teacher_entropy_real,real_trajectory_count,truncated_trajectory_count,total_trajectory_count,real_valid_action_rate
0,False,0.21763560357152564,1311,0,1311,0.996186117467582
0,True,0.14602386442494633,1425,0,1425,1.0
1,False,0.21381161694689557,1311,0,1311,0.9664378337147216
1,True,0.14837393065609616,1425,0,1425,0.992280701754386
2,False,0.19795120238041888,1311,0,1311,0.9168573607932876
2,True,0.13125900900342272,1425,0,1425,0.9789473684210527
3,False,0.18698247716414085,1311,0,1311,0.88558352402746
3,True,0.10041656081224681,1399,0,1399,0.9749821300929236
4,False,0.19733428665904754,1312,0,1312,0.8353658536585366
4,True,0.11288718057369411,1134,0,1134,0.9506172839506173
5,False,0.2055256675015146,1313,0,1313,0.8233054074638233
5,True,0.1005088466956242,1027,0,1027,0.9659201557935735
6,False,0.20636075370714663,1313,0,1313,0.766945925361767
6,True,0.09800527710995052,801,0,801,0.9413233458177278
7,False,0.21516955750876407,1313,0,1313,0.7753236862147753
7,True,0.10741451671257139,595,0,595,0.9243697478991597
8,False,0.21205214741845518,1313,0,1313,0.7654226961157654
8,True,0.11623538766855919,436,0,436,0.9197247706422018
9,False,0.21070914866673182,1313,0,1313,0.7509520182787509
9,True,0.13343055308506524,322,0,322,0.9037267080745341
10,False,0.2069867470601996,1313,0,1313,0.7341964965727342
10,True,0.13574407463562396,245,0,245,0.9224489795918367
11,False,0.20010396666973518,1292,21,1313,0.718266253869969
11,True,0.1344384744038475,203,0,203,0.896551724137931
12,False,0.1991647934776333,1221,92,1313,0.6838656838656839
12,True,0.13245061329151475,158,0,158,0.9240506329113924
13,False,0.19277978480581423,1168,145,1313,0.6583904109589042
13,True,0.14049760573145073,132,0,132,0.8939393939393939
14,False,0.18577892890445669,1068,245,1313,0.6629213483146067
14,True,0.15043607120988362,109,0,109,0.9724770642201835
15,False,0.1879222311744388,922,391,1313,0.665943600867679
15,True,0.14637818934558425,79,0,79,0.9113924050632911
16,False,0.17243289410850143,783,530,1313,0.6219667943805874
16,True,0.12863737297973327,60,0,60,0.9166666666666666
17,False,0.17068966157762508,660,653,1313,0.6348484848484849
17,True,0.14541509589786245,42,0,42,0.9285714285714286
18,False,0.15846913856325925,588,725,1313,0.5986394557823129
18,True,0.13298489027558402,36,0,36,0.9444444444444444
19,False,0.14500717440335023,512,801,1313,0.572265625
19,True,0.15025598309349553,22,0,22,0.8636363636363636
20,False,0.13838414128007065,421,892,1313,0.5866983372921615
20,True,0.16627897908339462,11,0,11,0.9090909090909091
21,False,0.1146621601789007,306,1007,1313,0.5196078431372549
21,True,0.4294873220298127,2,0,2,1.0
22,False,0.10007990638049372,187,1126,1313,0.5026737967914439
22,True,0.6400674969791457,1,0,1,1.0
23,False,0.06777845527275969,110,1203,1313,0.44545454545454544
24,False,0.04936954687687941,63,1250,1313,0.42857142857142855
25,False,0.04759650005856866,24,1289,1313,0.4583333333333333
26,False,0.0790067654822986,9,1304,1313,0.6666666666666666
27,False,0.101944879340414,1,1312,1313,1.0
28,False,,0,1313,1313,
29,False,,0,1313,1313,
