relative_turn,delta_teacher_entropy,task_success,model_version
-8,-0.08319920029382788,False,0
-7,-0.11970444142314607,False,0
-6,0.14670215553410704,False,0
-5,0.12299787610516877,False,0
-4,0.18485992755955727,False,0
-3,0.2040335301067694,False,0
-2,0.08702785652521261,False,0
-1,0.18645688060278587,False,0
0,0.35086498990310233,False,0
1,0.12342206095068853,False,0
2,0.09271674482228454,False,0
3,0.148879522344725,False,0
4,0.04726186669430987,False,0
-8,-0.002769668333523434,False,0
-7,-0.013242652562729273,False,0
-6,0.11029718907870761,False,0
-5,0.0274309657110679,False,0
-4,0.0999965098244548,False,0
-3,0.0683410055059892,False,0
-2,0.19124876266610508,False,0
-1,0.20447528570718115,False,0
0,0.2272670326440977,False,0
1,0.3967913914942433,False,0
2,0.37206435720993253,False,0
3,0.42598967024012485,False,0
-8,0.08624357232676394,False,0
-7,-0.07038087161934248,False,0
-6,-0.015862700707421462,False,0
-5,0.08753712505840722,False,0
-4,0.039730864691963075,False,0
-3,0.04808367682392889,False,0
-2,0.09346160773289064,False,0
-1,0.3735003330531314,False,0
0,0.561065795867342,False,0
1,0.30600178866943245,False,0
2,0.13654409450117005,False,0
3,0.32138310227927286,False,0
4,0.2633979982602575,False,0
5,0.02319112645343624,False,0
6,0.29166136084688205,False,0
7,0.4581314915423816,False,0
8,0.28813064803256244,False,0
9,0.2859306945377776,False,0
10,0.4073941665992881,False,0
11,0.15645404618122588,False,0
12,0.3549636046990909,False,0
13,0.39244354950102084,False,0
-8,0.07851359782800837,False,0
-7,-0.1842686390030247,False,0
-6,0.056789107647172155,False,0
-5,0.016860770023729765,False,0
-4,-0.028780455865967114,False,0
-3,0.02072156431265204,False,0
-2,0.3065630376043321,False,0
-1,0.1923059637126131,False,0
0,0.24029815792488896,False,0
1,0.14734437571065195,False,0
2,0.13436744034015968,False,0
3,0.27548776238842554,False,0
4,-0.18362391813359957,False,0
-8,-0.013102651980582913,False,0
-7,-0.0039684003424868,False,0
-6,-0.2955618858525082,False,0
-5,-0.036895629913361094,False,0
-4,0.13540048375384006,False,0
-3,0.06003010408407172,False,0
-2,0.13264375298342101,False,0
-1,0.2719306247864385,False,0
0,0.19649717648385734,False,0
1,0.06692547849136166,False,0
2,0.13331500245284233,False,0
3,0.01729185656443155,False,0
4,0.22879466055142184,False,0
-8,0.06733209902689918,False,0
-7,0.10572750043306789,False,0
-6,-0.01879960307504447,False,0
-5,0.1159541537836406,False,0
-4,0.07458985879545332,False,0
-3,0.06217536316978112,False,0
-2,0.1483694124171855,False,0
-1,0.30174893284803384,False,0
0,0.4657189269788119,False,0
-5,0.16666355938034166,False,0
-4,-0.20024546605048388,False,0
-3,0.033581906670142325,False,0
-2,0.1036395129830821,False,0
-1,0.3576974763779965,False,0
0,0.06854786317878275,False,0
1,-0.06826637615602615,False,0
2,0.02474329976304096,False,0
3,0.18121041032763313,False,0
4,0.15117785720333837,False,0
5,0.2571550886500263,False,0
6,0.37986680053588145,False,0
7,0.20462549078905584,False,0
8,0.3104137900895974,False,0
9,0.17164536784591428,False,0
10,0.3283688848845238,False,0
11,0.24410376628121727,False,0
-4,-0.06994940506925212,False,0
-3,-0.16274019254603075,False,0
-2,0.2326895976152828,False,0
-1,0.1553489311858795,False,0
0,0.19101322482131416,False,0
1,0.32614378868437516,False,0
2,0.2221911935236051,False,0
3,0.008600264936224344,False,0
4,-0.014400751121188882,False,0
5,0.1514889045425281,False,0
6,0.2010959752363763,False,0
7,0.3044121748376238,False,0
8,0.21517602956146636,False,0
9,0.2146468584040681,False,0
10,0.08052938020539457,False,0
11,0.35332004920809906,False,0
12,0.213022616788549,False,0
13,0.3358424672729346,False,0
14,-0.00522662757904474,False,0
-4,0.1687412460103791,True,1
-3,-0.09533709488657852,True,1
-2,-0.07340415112380058,True,1
-1,0.540137000278154,True,1
0,0.46532547901334487,True,1
1,0.5238269696445284,True,1
2,0.49271026007457597,True,1
3,0.40880255136164345,True,1
4,0.34178118790334333,True,1
-8,-0.11950086415095867,True,1
-7,0.03688710161930375,True,1
-6,0.0287261976364942,True,1
-5,0.19547296638162254,True,1
-4,-0.0003397887502759045,True,1
-3,-0.013093143733398649,True,1
-2,0.22566034336515056,True,1
-1,0.23637193766021608,True,1
0,0.22712413631310097,True,1
1,0.2060059922552852,True,1
2,0.015695348329153647,True,1
-7,0.08502199841590236,False,1
-6,-0.07949180754803792,False,1
-5,-0.005530190867864382,False,1
-4,-0.11988524851859728,False,1
-3,-0.045809418170280225,False,1
-2,0.18640197643504836,False,1
-1,0.16972417181531513,False,1
0,0.21181730245959002,False,1
1,-0.0810368745471684,False,1
2,-0.10868844746085815,False,1
3,0.16678806449184486,False,1
4,0.16180808962828458,False,1
5,0.22235094574590647,False,1
6,0.2952787674641611,False,1
7,0.14384244899681747,False,1
-7,0.01873431816913329,False,1
-6,0.014578575119398862,False,1
-5,-0.03331289328853204,False,1
-4,-0.11493908523728147,False,1
-3,0.09055328858047862,False,1
-2,0.22962556906202958,False,1
-1,0.12783505346784652,False,1
0,0.19925816431974486,False,1
1,0.12840425819064105,False,1
2,-0.29919517293988285,False,1
3,-0.16911318120168833,False,1
4,-0.10501057784705481,False,1
5,-0.20193591529316407,False,1
6,-0.23802758953836767,False,1
-6,0.0975569101564352,False,1
-5,6.172343321164675e-05,False,1
-4,-0.09761863358964706,False,1
-3,0.06409333788646565,False,1
-2,0.19845314362015198,False,1
-1,0.03907853305720532,False,1
0,0.30247524469181997,False,1
1,-0.0034582034228407554,False,1
2,-0.025706404540231098,False,1
3,0.016562243820493205,False,1
4,0.018092280624858348,False,1
5,-0.02981694737201923,False,1
6,0.11260234552047987,False,1
7,0.01616562591627324,False,1
8,-0.0836367897098812,False,1
9,0.01791296028898315,False,1
10,0.14045551871564177,False,1
11,-0.10821155689910866,False,1
12,0.03510564114429893,False,1
-8,0.045810556816491266,False,1
-7,-0.06858392164136923,False,1
-6,0.022773364824878073,False,1
-5,-0.013154869681083259,False,1
-4,0.032076383122051744,False,1
-3,0.011835571096432296,False,1
-2,0.16794093116157854,False,1
-1,0.15559976150956673,False,1
0,0.22846315051706473,False,1
1,0.22947824394707356,False,1
2,0.18143351493444587,False,1
3,0.2516905120869221,False,1
4,0.11739401325424498,False,1
5,0.10721361929350409,False,1
6,0.11697437470750399,False,1
7,0.29661168489833506,False,1
8,0.330600790262452,False,1
-7,-0.021501898885044612,False,1
-6,-0.028994946263428134,False,1
-5,0.050496845148472524,False,1
-4,0.2151190770397372,False,1
-3,0.14291080867305705,False,1
-2,0.00747324956465778,False,1
-1,0.2534720842067565,False,1
0,0.3519301205681905,False,1
1,0.08025261466011724,False,1
2,0.10837953454440419,False,1
3,0.021193117365303604,False,1
4,-0.11341640531125147,False,1
5,0.09868496883028666,False,1
6,0.18024373684729855,False,1
7,0.19773930036360343,False,1
-4,0.11810651334555278,False,1
-3,-0.16511641182395193,False,1
-2,0.047009898478399204,False,1
-1,0.39825642565153474,False,1
0,0.1786746429564836,False,1
1,0.1538689412785751,False,1
2,0.08065897342458916,False,1
3,0.2132958582416199,False,1
4,0.129858224491753,False,1
5,0.03163215707694211,False,1
6,0.10616841863682558,False,1
7,0.15996259442514926,False,1
8,0.19572093361318843,False,1
9,0.24581189892047006,False,1
-6,0.057864804305425066,False,1
-5,0.034133410130651964,False,1
-4,-0.09199821443607692,False,1
-3,0.11356645151239408,False,1
-2,0.14538484846410693,False,1
-1,0.19796778105561774,False,1
0,0.24920776975269576,False,1
1,-0.081675812160108,False,1
2,-0.06755455475356725,False,1
3,-0.04701248850881462,False,1
4,-0.04263644049996895,False,1
5,-0.09582993465264233,False,1
