left,right,split,task_count,both_success,left_only_success,right_only_success,both_failure,mcnemar_exact_pvalue
Fixed_t0100,Immediate_Vanilla,all,274,206,32,5,31,7.427530363202095e-06
Fixed_t0100,Immediate_Vanilla,seen,140,106,17,2,15,0.000728607177734375
Fixed_t0100,Immediate_Vanilla,unseen,134,100,15,3,16,0.007537841796875
Fixed_t0100,Linear_to_Vanilla,all,274,208,30,16,20,0.054076031858869555
Fixed_t0100,Linear_to_Vanilla,seen,140,109,14,9,8,0.4048728942871094
Fixed_t0100,Linear_to_Vanilla,unseen,134,99,16,7,12,0.0931396484375
Fixed_t0100,Cosine_to_t0200,all,274,202,36,8,28,2.5448598648836196e-05
Fixed_t0100,Cosine_to_t0200,seen,140,110,13,4,13,0.049041748046875
Fixed_t0100,Cosine_to_t0200,unseen,134,92,23,4,15,0.000310748815536499
Immediate_Vanilla,Linear_to_Vanilla,all,274,192,19,32,31,0.09191454981585423
Immediate_Vanilla,Linear_to_Vanilla,seen,140,100,8,18,14,0.07551869750022888
Immediate_Vanilla,Linear_to_Vanilla,unseen,134,92,11,14,17,0.6900379657745361
Immediate_Vanilla,Cosine_to_t0200,all,274,191,20,19,44,1.0
Immediate_Vanilla,Cosine_to_t0200,seen,140,102,6,12,20,0.237884521484375
Immediate_Vanilla,Cosine_to_t0200,unseen,134,89,14,7,24,0.18924713134765625
Linear_to_Vanilla,Cosine_to_t0200,all,274,193,31,17,33,0.05946337525377032
Linear_to_Vanilla,Cosine_to_t0200,seen,140,105,13,9,13,0.5234670639038086
Linear_to_Vanilla,Cosine_to_t0200,unseen,134,88,18,8,20,0.07551869750022888
