left,right,split,task_count,both_success,left_only_success,right_only_success,both_failure,mcnemar_exact_pvalue
step80_to_immediate_vanilla,step80_to_linear_anneal,all,274,192,19,32,31,0.09191454981585423
step80_to_immediate_vanilla,step80_to_linear_anneal,seen,140,100,8,18,14,0.07551869750022888
step80_to_immediate_vanilla,step80_to_linear_anneal,unseen,134,92,11,14,17,0.6900379657745361
step80_to_immediate_vanilla,fixed_tau0.100,all,274,206,5,32,31,7.427530363202095e-06
step80_to_immediate_vanilla,fixed_tau0.100,seen,140,106,2,17,15,0.000728607177734375
step80_to_immediate_vanilla,fixed_tau0.100,unseen,134,100,3,15,16,0.007537841796875
step80_to_immediate_vanilla,vanilla_opd,all,274,192,19,26,37,0.3712980344710104
step80_to_immediate_vanilla,vanilla_opd,seen,140,102,6,13,19,0.1670684814453125
step80_to_immediate_vanilla,vanilla_opd,unseen,134,90,13,13,18,1.0
step80_to_immediate_vanilla,tcod_f2b,all,274,202,9,30,33,0.0010650196345523
step80_to_immediate_vanilla,tcod_f2b,seen,140,106,2,16,16,0.001312255859375
step80_to_immediate_vanilla,tcod_f2b,unseen,134,96,7,14,17,0.18924713134765625
step80_to_linear_anneal,fixed_tau0.100,all,274,208,16,30,20,0.054076031858869555
step80_to_linear_anneal,fixed_tau0.100,seen,140,109,9,14,8,0.4048728942871094
step80_to_linear_anneal,fixed_tau0.100,unseen,134,99,7,16,12,0.0931396484375
step80_to_linear_anneal,vanilla_opd,all,274,203,21,15,35,0.40503224614076316
step80_to_linear_anneal,vanilla_opd,seen,140,109,9,6,16,0.60723876953125
step80_to_linear_anneal,vanilla_opd,unseen,134,94,12,9,19,0.6636238098144531
step80_to_linear_anneal,tcod_f2b,all,274,207,17,25,25,0.27995623852893914
step80_to_linear_anneal,tcod_f2b,seen,140,111,7,11,11,0.480682373046875
step80_to_linear_anneal,tcod_f2b,unseen,134,96,10,14,14,0.5412561893463135
fixed_tau0.100,vanilla_opd,all,274,209,29,9,27,0.0016580525261815637
fixed_tau0.100,vanilla_opd,seen,140,111,12,4,13,0.076812744140625
fixed_tau0.100,vanilla_opd,unseen,134,98,17,5,14,0.01690053939819336
fixed_tau0.100,tcod_f2b,all,274,220,18,12,24,0.361594608053565
fixed_tau0.100,tcod_f2b,seen,140,116,7,6,11,1.0
fixed_tau0.100,tcod_f2b,unseen,134,104,11,6,13,0.332305908203125
vanilla_opd,tcod_f2b,all,274,208,10,24,32,0.024306510109454393
vanilla_opd,tcod_f2b,seen,140,110,5,12,13,0.143463134765625
vanilla_opd,tcod_f2b,unseen,134,98,5,12,19,0.143463134765625
