training_step,model_version,trajectories,success_rate,frontier_trigger_rate,retained_fraction,mean_env_rounds,mean_full_turns,mean_retained_turns,teacher_entropy,student_entropy,sampled_reverse_kl,valid_action_rate,prompt_truncated_turn_rate,recorded_turns,success_rate_smooth,frontier_trigger_rate_smooth,retained_fraction_smooth,teacher_entropy_smooth,student_entropy_smooth,sampled_reverse_kl_smooth,valid_action_rate_smooth,prompt_truncated_turn_rate_smooth,mean_env_rounds_smooth,real_response_turns
1,0.0,16,0.0625,0.5625,0.59375,28.8125,28.8125,16.625,0.5910717235999968,0.6886142914824963,0.48585913050942187,0.6134751773049646,0.3882863340563991,461,0.140625,0.546875,0.6186095120614035,0.576055303109363,0.6721109257407288,0.4771326337841418,0.6995478422460327,0.39860007614282283,27.328125,282
2,1.0,16,0.25,0.4375,0.68125,24.5,24.5,14.9375,0.5663584604431265,0.660694267767952,0.47542151491574164,0.6903765690376569,0.3903061224489796,392,0.15,0.575,0.6033995144110276,0.5674576578974226,0.6609377069758509,0.4748354079016323,0.7256461789351661,0.39811633776390026,27.1,239
3,3.0,16,0.0625,0.625,0.5635416666666666,28.875,28.875,16.4375,0.5723685004317991,0.6692441607758106,0.4773925732359408,0.7773584905660378,0.4264069264069264,462,0.13541666666666666,0.59375,0.5868607064536341,0.5546320781198241,0.6473831090332401,0.470238416736934,0.743906147864199,0.4004126603245424,27.3125,265
4,4.0,16,0.1875,0.5625,0.6358963815789473,27.125,27.125,16.875,0.5744225279625297,0.6698909829366564,0.46985731647546275,0.7169811320754716,0.38940092165898615,434,0.125,0.5892857142857143,0.5881425102935911,0.5414382573983451,0.6314036293067048,0.46535259238129717,0.7597536566946591,0.40803149361990354,27.464285714285715,265
5,6.0,16,0.1875,0.6875,0.5425595238095238,26.1875,26.1875,13.1875,0.533067077049661,0.6162448319163388,0.46564650437159444,0.8300395256916996,0.39618138424821003,419,0.15178571428571427,0.5892857142857143,0.5926067960078768,0.5088741377102267,0.592986515411711,0.4517879075020702,0.7991590566652693,0.3996939135628878,26.839285714285715,253
6,7.0,16,0.0625,0.6875,0.5041666666666667,28.375,28.375,13.5,0.49050417923183154,0.5796101193201862,0.44725346091344276,0.8352059925093633,0.4118942731277533,454,0.14285714285714285,0.5892857142857143,0.6091990579126387,0.4744466036457384,0.5515846294999848,0.44080302190517345,0.8205134969806828,0.39256097990652794,27.142857142857142,267
7,9.0,16,0.0625,0.5625,0.5958333333333333,28.375,28.375,16.25,0.46227533306947105,0.5355267509474927,0.4360376462474759,0.8548387096774194,0.45374449339207046,454,0.16071428571428573,0.5803571428571429,0.6146624932867883,0.4436781804118723,0.5128507399061502,0.4293890538425496,0.826299018736555,0.38082603257439096,26.830357142857142,248
8,10.0,16,0.25,0.5625,0.625,24.4375,24.4375,13.8125,0.36312288578316787,0.4196944942175393,0.39090633635483296,0.8893129770992366,0.329923273657289,391,0.15178571428571427,0.5714285714285714,0.6280440541601255,0.41805236693720993,0.4764599191961713,0.4182624926338393,0.8426647453883438,0.3784878591752741,26.928571428571427,262
9,12.0,16,0.1875,0.4375,0.7973958333333334,26.625,26.625,21.1875,0.3253657219917081,0.3708810663858693,0.39852731573746464,0.8398576512455516,0.3403755868544601,426,0.125,0.5625,0.6427974555206698,0.3841485019327529,0.43557636423507534,0.40316374681767825,0.8350531574018056,0.36742623285410125,27.473214285714285,281
10,13.0,16,0.1875,0.5625,0.6017857142857143,26.6875,26.6875,14.875,0.356989537794737,0.39810693361896843,0.39749479679757405,0.8178571428571428,0.3442622950819672,427,0.14285714285714285,0.49107142857142855,0.6957736459968603,0.34929728264807663,0.3895564971421667,0.3878757388775466,0.8389873153346417,0.36302247400228627,27.098214285714285,280
11,15.0,16,0.125,0.5,0.7295673076923077,27.8125,27.8125,20.0625,0.39504183363989304,0.4151552379668045,0.3919713880144901,0.8315412186379928,0.37303370786516854,445,0.16071428571428573,0.45535714285714285,0.7318280677655677,0.31759557747323314,0.3484892545536337,0.375795629630812,0.84149804153836,0.34335008006757,26.830357142857142,279
12,16.0,16,0.0,0.625,0.6458333333333334,30.0,30.0,19.375,0.2957400220184617,0.33005994718866727,0.35995528365846763,0.7767584097859327,0.31875,480,0.14285714285714285,0.42857142857142855,0.7529590201465203,0.3011584019380658,0.32071987838699234,0.36705193682930554,0.8302428042083939,0.3471694898611272,27.294642857142858,327
13,18.0,16,0.1875,0.1875,0.875,25.75,25.75,22.0,0.2465456442390978,0.2574710496698254,0.3402374053325215,0.8627450980392157,0.38106796116504854,412,0.15178571428571427,0.42857142857142855,0.7499610117326283,0.28874917924525245,0.30088606197214585,0.3617451910957365,0.819230814405849,0.34753378594940754,27.214285714285715,255
14,19.0,16,0.1875,0.3125,0.8482142857142857,26.5,26.5,22.375,0.2403633968455665,0.24805605282776222,0.351476881520333,0.8724137931034482,0.3160377358490566,424,0.14285714285714285,0.375,0.7883963858822881,0.2808192320343583,0.28328161033489774,0.35443743328735194,0.8110675490997267,0.3488318480508618,27.267857142857142,290
15,21.0,16,0.125,0.375,0.7729166666666667,27.6875,27.6875,20.875,0.24806265703699618,0.22530886105104905,0.32970048674428776,0.8105263157894737,0.35665914221218964,443,0.14285714285714285,0.36607142857142855,0.7882399451008474,0.2599735000395765,0.25784762844615,0.3469870503438886,0.8016291339662395,0.3411542420175419,27.321428571428573,285
16,22.0,16,0.25,0.4375,0.7764097744360903,26.0625,26.0625,20.0,0.23850116314201453,0.23204435148194405,0.36138009560248113,0.7627737226277372,0.34292565947242204,417,0.16071428571428573,0.29464285714285715,0.8287161355770378,0.24563882091887473,0.23771960668746345,0.343131116601405,0.8134499514584498,0.35918340322330866,26.928571428571427,274
17,24.0,16,0.125,0.1875,0.8708333333333333,27.0625,27.0625,23.1875,0.30147990731847857,0.2748757721582315,0.3463404921388822,0.7607142857142857,0.3533487297921478,433,0.16964285714285715,0.3392857142857143,0.8042588526638726,0.24061476751307262,0.2286886752189467,0.3372038967973453,0.7821384169436537,0.34202735302202997,26.910714285714285,280
18,25.0,16,0.125,0.4375,0.7284722222222222,28.1875,28.1875,20.625,0.2491217096764197,0.23711736474557052,0.3398187074102471,0.7654723127035831,0.31929046563192903,451,0.17857142857142858,0.3482142857142857,0.7890377642284985,0.2346363670370428,0.21952546219649016,0.3307251722723183,0.7631201199696918,0.3392337353379221,26.678571428571427,307
19,27.0,16,0.125,0.125,0.9291666666666667,27.25,27.25,25.125,0.19539726817355002,0.18916379487786136,0.33296374746108226,0.859504132231405,0.44495412844036697,436,0.20535714285714285,0.3482142857142857,0.7887401451808793,0.22684739124712597,0.21312007976125144,0.32949283291026593,0.7665614155162505,0.3326174046770674,26.089285714285715,242
20,28.0,16,0.25,0.5,0.7037990196078431,25.625,25.625,17.3125,0.21137727039848303,0.1942545293902083,0.2987468667041036,0.6435643564356436,0.26097560975609757,410,0.20535714285714285,0.3392857142857143,0.785264939309057,0.22425772704151278,0.21094538050271083,0.32648310769355665,0.7775231941179318,0.3379283162976252,25.866071428571427,303
21,30.0,16,0.25,0.375,0.7416666666666667,24.875,24.875,17.125,0.19851459351335746,0.18391356167056633,0.30612580984514376,0.7392857142857143,0.2964824120603015,398,0.24107142857142858,0.3482142857142857,0.7813272103713281,0.21033113180291188,0.19783037174852408,0.3209709521647408,0.7657704718276023,0.3219194782231437,25.330357142857142,280
22,31.0,16,0.3125,0.375,0.7708333333333334,23.5625,23.5625,17.1875,0.19353982650757845,0.1804711840043781,0.32107411120992174,0.8346153846153846,0.3103448275862069,377,0.2767857142857143,0.32142857142857145,0.7995811786252963,0.2040206778615367,0.19225251783806782,0.32136199095106643,0.7611020731938342,0.32222492190837837,24.553571428571427,260
23,33.0,16,0.25,0.375,0.7520833333333333,24.5,24.5,17.0625,0.22037351370272235,0.21682145667215957,0.3403120190855158,0.8395061728395061,0.38010204081632654,392,0.30357142857142855,0.3482142857142857,0.7847002262443439,0.20552335288816828,0.19176163126339124,0.3149544863380784,0.7515810747117967,0.29735052260737355,24.089285714285715,243
24,34.0,16,0.375,0.25,0.8432692307692308,23.3125,23.3125,18.9375,0.203993740648272,0.18307071087892432,0.30775540343717145,0.6784452296819788,0.24128686327077747,373,0.3125,0.32142857142857145,0.80260989010989,0.2027383961908035,0.19006424188697496,0.31370221107059265,0.7722341085381819,0.3144364966167199,23.830357142857142,283
25,36.0,16,0.375,0.25,0.85625,22.75,22.75,18.4375,0.2049485320867934,0.19807238737237676,0.3425559789145264,0.7327935222672065,0.32142857142857145,364,0.32142857142857145,0.2767857142857143,0.8350503663003662,0.2018013860499026,0.18952473745787837,0.31153113575223396,0.7905992078818839,0.3275304608545436,23.589285714285715,247
26,37.0,16,0.3125,0.3125,0.825,24.0,24.0,18.75,0.2059159933599712,0.18572758885512536,0.28811121517016586,0.7928571428571428,0.2708333333333333,384,0.33035714285714285,0.26785714285714285,0.839812271062271,0.20044748109416063,0.18851342980436928,0.3061607989075806,0.7944687426024826,0.3165805786527874,23.508928571428573,280
27,39.0,16,0.3125,0.3125,0.8291666666666666,23.8125,23.8125,19.6875,0.19188257351692958,0.18237280375529424,0.28998093983170364,0.788135593220339,0.3805774278215223,381,0.3392857142857143,0.25892857142857145,0.8481456043956044,0.19724682067041435,0.18488940565602693,0.30183595649597955,0.7860681113948338,0.31686797584162807,23.303571428571427,236
28,40.0,16,0.3125,0.0625,0.96875,23.1875,23.1875,22.9375,0.1919555225270513,0.1801370306668902,0.2909282826166328,0.8678414096916299,0.3881401617250674,371,0.3392857142857143,0.25,0.8499999999999999,0.19822468153473352,0.18784791165550638,0.30541781546964114,0.8053575789532187,0.34368329292297933,22.991071428571427,227
