turn,task_success,teacher_entropy_real,real_trajectory_count,truncated_trajectory_count,total_trajectory_count,real_valid_action_rate
0,False,0.2247241077904474,1178,0,1178,0.9940577249575552
0,True,0.14475272519849022,1558,0,1558,0.9993581514762516
1,False,0.2238911673256358,1178,0,1178,0.966044142614601
1,True,0.14541530097010702,1558,0,1558,0.9929396662387676
2,False,0.20987593859494558,1178,0,1178,0.9159592529711376
2,True,0.1315671483000349,1558,0,1558,0.9775353016688062
3,False,0.20281652922563828,1178,0,1178,0.8862478777589134
3,True,0.10049752203104538,1537,0,1537,0.9817826935588809
4,False,0.20714894425548583,1178,0,1178,0.8582342954159593
4,True,0.11473895563687408,1276,0,1276,0.9663009404388715
5,False,0.2103505647000233,1178,0,1178,0.8242784380305602
5,True,0.09915370699557609,1163,0,1163,0.9518486672398968
6,False,0.21933528633677693,1178,0,1178,0.7758913412563667
6,True,0.10137786544459375,897,0,897,0.9487179487179487
7,False,0.22262865766302195,1178,0,1178,0.7623089983022071
7,True,0.10478225620008383,663,0,663,0.9215686274509803
8,False,0.22357222346069383,1178,0,1178,0.765704584040747
8,True,0.11076547992112667,496,0,496,0.9294354838709677
9,False,0.2231923877746661,1178,0,1178,0.7427843803056027
9,True,0.12489658779575732,370,0,370,0.9324324324324325
10,False,0.22050550508388211,1174,4,1178,0.7325383304940375
10,True,0.12832805698485375,274,0,274,0.9014598540145985
11,False,0.21297299280434848,1151,27,1178,0.7106863596872285
11,True,0.12386096550505445,206,0,206,0.9320388349514563
12,False,0.2126920182794742,1104,74,1178,0.6893115942028986
12,True,0.1233907120369798,147,0,147,0.9115646258503401
13,False,0.20809859075391665,1053,125,1178,0.6638176638176638
13,True,0.12897769468921533,112,0,112,0.8660714285714286
14,False,0.20504792358342827,936,242,1178,0.6388888888888888
14,True,0.14586109282768558,82,0,82,0.9146341463414634
15,False,0.20137529797682016,806,372,1178,0.6104218362282878
15,True,0.16055069207117742,66,0,66,0.8787878787878788
16,False,0.19174741095598563,700,478,1178,0.6057142857142858
16,True,0.14857769627009132,56,0,56,0.8928571428571429
17,False,0.19205110271761383,615,563,1178,0.591869918699187
17,True,0.13236879987875583,41,0,41,0.926829268292683
18,False,0.18671703252263253,537,641,1178,0.5754189944134078
18,True,0.14767996377393108,28,0,28,0.8928571428571429
19,False,0.17034703445416918,476,702,1178,0.5882352941176471
19,True,0.11853703956572723,16,0,16,0.9375
20,False,0.14885571652639348,380,798,1178,0.5289473684210526
20,True,0.10243775455633464,10,0,10,1.0
21,False,0.12421798098116735,287,891,1178,0.42160278745644597
21,True,0.12956135290716553,2,0,2,1.0
22,False,0.10216649237416983,174,1004,1178,0.40804597701149425
23,False,0.08391792692335853,95,1083,1178,0.3894736842105263
24,False,0.05745142511287111,45,1133,1178,0.3333333333333333
25,False,0.060138784387470744,24,1154,1178,0.3333333333333333
26,False,0.04991984616673323,12,1166,1178,0.4166666666666667
27,False,0.0343250989130419,2,1176,1178,0.5
28,False,,0,1178,1178,
29,False,,0,1178,1178,
