method,subset,n,success_count,success_rate,wilson95_low,wilson95_high,mean_env_rounds,parse_valid_rate,admissible_rate,repeat_rate,timeout_rate
Adaptive v1 tau=0.125,overall,274,222,0.8102189781021898,0.7596227085161412,0.85223702156723,11.704379562043796,0.9249391727493917,0.9049814373880497,0.07706812652068126,0.1897810218978102
Adaptive v1 tau=0.125,seen,140,115,0.8214285714285714,0.7496696703597742,0.8760192008313173,11.321428571428571,0.9297619047619047,0.9123828622358033,0.07178571428571427,0.17857142857142858
Adaptive v1 tau=0.125,unseen,134,107,0.7985074626865671,0.7227118753584653,0.8576650350750276,12.104477611940299,0.9199004975124379,0.8972486054575607,0.08258706467661692,0.20149253731343283
Adaptive v1 tau=0.175,overall,274,193,0.7043795620437956,0.6478232049109253,0.7552843819675311,14.116788321167883,0.887956204379562,0.8390089229505288,0.12627737226277372,0.2956204379562044
Adaptive v1 tau=0.175,seen,140,110,0.7857142857142857,0.7105956160814108,0.8455722694217819,12.271428571428572,0.9149999999999999,0.8755697278911565,0.0980952380952381,0.21428571428571427
Adaptive v1 tau=0.175,unseen,134,83,0.6194029850746269,0.5349525371679076,0.6971982270054897,16.044776119402986,0.8597014925373133,0.8008110670424103,0.15572139303482588,0.3805970149253731
TCOD F2B (frozen),overall,274,232,0.8467153284671532,0.7992901009509277,0.8845531267893108,11.094890510948906,0.9427007299270074,0.9202202576725185,0.06167883211678832,0.15328467153284672
TCOD F2B (frozen),seen,140,122,0.8714285714285714,0.8059161413401259,0.9171021098140244,10.35,0.9521428571428572,0.9306075112231127,0.05714285714285714,0.12857142857142856
TCOD F2B (frozen),unseen,134,110,0.8208955223880597,0.7473197986028969,0.8765853801131082,11.873134328358208,0.9328358208955223,0.909367903216674,0.0664179104477612,0.1791044776119403
Vanilla OPD (frozen),overall,274,218,0.7956204379562044,0.7439417266712121,0.8391246043494123,11.981751824817518,0.9250608272506082,0.8982201437225052,0.07849935594675826,0.20437956204379562
Vanilla OPD (frozen),seen,140,115,0.8214285714285714,0.7496696703597742,0.8760192008313173,11.264285714285714,0.9366666666666666,0.911264172335601,0.06892857142857142,0.17857142857142858
Vanilla OPD (frozen),unseen,134,103,0.7686567164179104,0.6903757962971081,0.8319634230930356,12.73134328358209,0.9129353233830847,0.8845920541267336,0.08849868305531168,0.23134328358208955
