comparison,stratum,stratum_value,n,new_success,reference_success,success_rate_delta,both_success,new_only,reference_only,both_failure,discordant,mcnemar_exact_two_sided_p
Adaptive v1 tau=0.125 vs Adaptive v1 tau=0.175,overall,all,274,222,193,0.1058394160583942,180,42,13,39,55,0.00011361060320691506
Adaptive v1 tau=0.125 vs Adaptive v1 tau=0.175,split,seen,140,115,110,0.0357142857142857,101,14,9,16,23,0.4048728942871094
Adaptive v1 tau=0.125 vs Adaptive v1 tau=0.175,split,unseen,134,107,83,0.17910447761194026,79,28,4,23,32,1.9301194697618484e-05
Adaptive v1 tau=0.125 vs Adaptive v1 tau=0.175,task_type,look_at_obj_in_light,31,22,14,0.2580645161290323,11,11,3,6,14,0.057373046875
Adaptive v1 tau=0.125 vs Adaptive v1 tau=0.175,task_type,pick_and_place_simple,59,56,55,0.016949152542372947,53,3,2,1,5,1.0
Adaptive v1 tau=0.125 vs Adaptive v1 tau=0.175,task_type,pick_clean_then_place_in_recep,58,49,46,0.051724137931034475,44,5,2,7,7,0.453125
Adaptive v1 tau=0.125 vs Adaptive v1 tau=0.175,task_type,pick_cool_then_place_in_recep,46,36,26,0.21739130434782616,23,13,3,7,16,0.021270751953125
Adaptive v1 tau=0.125 vs Adaptive v1 tau=0.175,task_type,pick_heat_then_place_in_recep,39,32,30,0.05128205128205121,29,3,1,6,4,0.625
Adaptive v1 tau=0.125 vs Adaptive v1 tau=0.175,task_type,pick_two_obj_and_place,41,27,22,0.12195121951219512,20,7,2,12,9,0.1796875
Adaptive v1 tau=0.125 vs TCOD F2B (frozen),overall,all,274,222,232,-0.03649635036496346,206,16,26,26,42,0.16414940178310644
Adaptive v1 tau=0.125 vs TCOD F2B (frozen),split,seen,140,115,122,-0.050000000000000044,109,6,13,12,19,0.1670684814453125
Adaptive v1 tau=0.125 vs TCOD F2B (frozen),split,unseen,134,107,110,-0.022388059701492602,97,10,13,14,23,0.6776394844055176
Adaptive v1 tau=0.125 vs TCOD F2B (frozen),task_type,look_at_obj_in_light,31,22,23,-0.032258064516129004,16,6,7,2,13,1.0
Adaptive v1 tau=0.125 vs TCOD F2B (frozen),task_type,pick_and_place_simple,59,56,55,0.016949152542372947,52,4,3,0,7,1.0
Adaptive v1 tau=0.125 vs TCOD F2B (frozen),task_type,pick_clean_then_place_in_recep,58,49,51,-0.03448275862068961,48,1,3,6,4,0.625
Adaptive v1 tau=0.125 vs TCOD F2B (frozen),task_type,pick_cool_then_place_in_recep,46,36,35,0.021739130434782594,32,4,3,7,7,1.0
Adaptive v1 tau=0.125 vs TCOD F2B (frozen),task_type,pick_heat_then_place_in_recep,39,32,35,-0.07692307692307698,32,0,3,4,3,0.25
Adaptive v1 tau=0.125 vs TCOD F2B (frozen),task_type,pick_two_obj_and_place,41,27,33,-0.14634146341463417,26,1,7,7,8,0.0703125
Adaptive v1 tau=0.125 vs Vanilla OPD (frozen),overall,all,274,222,218,0.014598540145985384,203,19,15,37,34,0.6075913612730801
Adaptive v1 tau=0.125 vs Vanilla OPD (frozen),split,seen,140,115,115,0.0,109,6,6,19,12,1.0
Adaptive v1 tau=0.125 vs Vanilla OPD (frozen),split,unseen,134,107,103,0.02985074626865669,94,13,9,18,22,0.5234670639038086
Adaptive v1 tau=0.125 vs Vanilla OPD (frozen),task_type,look_at_obj_in_light,31,22,20,0.06451612903225812,17,5,3,6,8,0.7265625
Adaptive v1 tau=0.125 vs Vanilla OPD (frozen),task_type,pick_and_place_simple,59,56,52,0.06779661016949157,50,6,2,1,8,0.2890625
Adaptive v1 tau=0.125 vs Vanilla OPD (frozen),task_type,pick_clean_then_place_in_recep,58,49,51,-0.03448275862068961,48,1,3,6,4,0.625
Adaptive v1 tau=0.125 vs Vanilla OPD (frozen),task_type,pick_cool_then_place_in_recep,46,36,36,0.0,34,2,2,8,4,1.0
Adaptive v1 tau=0.125 vs Vanilla OPD (frozen),task_type,pick_heat_then_place_in_recep,39,32,34,-0.05128205128205132,31,1,3,4,4,0.625
Adaptive v1 tau=0.125 vs Vanilla OPD (frozen),task_type,pick_two_obj_and_place,41,27,25,0.04878048780487809,23,4,2,12,6,0.6875
