method,n,success_count,success_rate,wilson95_low,wilson95_high,mean_env_rounds,parse_valid_rate,admissible_rate,repeat_rate,timeout_rate,task_type
Adaptive v1 tau=0.125,31,22,0.7096774193548387,0.5340767066925007,0.8390419984369939,13.516129032258064,0.9129032258064517,0.8302215705441511,0.1043010752688172,0.2903225806451613,look_at_obj_in_light
Adaptive v1 tau=0.125,59,56,0.9491525423728814,0.8608349778472311,0.9825572825270099,7.322033898305085,0.9824858757062147,0.9752953261427837,0.01977401129943503,0.05084745762711865,pick_and_place_simple
Adaptive v1 tau=0.125,58,49,0.8448275862068966,0.730660191401075,0.9161550804698196,11.137931034482758,0.942528735632184,0.9315134099616857,0.06091954022988506,0.15517241379310345,pick_clean_then_place_in_recep
Adaptive v1 tau=0.125,46,36,0.782608695652174,0.6442631262842105,0.8773909467543746,12.195652173913043,0.8942028985507247,0.8833333333333333,0.10289855072463769,0.21739130434782608,pick_cool_then_place_in_recep
Adaptive v1 tau=0.125,39,32,0.8205128205128205,0.6733195433811838,0.9102273452678089,11.153846153846153,0.9213675213675213,0.9213675213675213,0.07264957264957266,0.1794871794871795,pick_heat_then_place_in_recep
Adaptive v1 tau=0.125,41,27,0.6585365853658537,0.5054983651982969,0.7844119174261515,17.414634146341463,0.8642276422764227,0.8314921090387375,0.1369918699186992,0.34146341463414637,pick_two_obj_and_place
Adaptive v1 tau=0.175,31,14,0.45161290322580644,0.29161735980520015,0.6222783236264549,19.0,0.841935483870968,0.661262393520458,0.25268817204301075,0.5483870967741935,look_at_obj_in_light
Adaptive v1 tau=0.175,59,55,0.9322033898305084,0.838244756312555,0.9733213810286956,7.47457627118644,0.9751412429378531,0.963713405238829,0.022598870056497175,0.06779661016949153,pick_and_place_simple
Adaptive v1 tau=0.175,58,46,0.7931034482758621,0.6723078207851659,0.8774851603050945,12.706896551724139,0.9224137931034483,0.8747126436781609,0.0867816091954023,0.20689655172413793,pick_clean_then_place_in_recep
Adaptive v1 tau=0.175,46,26,0.5652173913043478,0.4224743369429499,0.6979073722198005,17.5,0.8,0.7566610925306578,0.2036231884057971,0.43478260869565216,pick_cool_then_place_in_recep
Adaptive v1 tau=0.175,39,30,0.7692307692307693,0.6166374277165825,0.8735419587485715,12.41025641025641,0.8957264957264957,0.880952380952381,0.10512820512820512,0.23076923076923078,pick_heat_then_place_in_recep
Adaptive v1 tau=0.175,41,22,0.5365853658536586,0.38746471267669474,0.6794376602366394,19.804878048780488,0.8398373983739839,0.7959349593495935,0.16910569105691056,0.4634146341463415,pick_two_obj_and_place
TCOD F2B (frozen),31,23,0.7419354838709677,0.5675386419056621,0.8629829409360625,13.709677419354838,0.9279569892473118,0.8194393025275378,0.1053763440860215,0.25806451612903225,look_at_obj_in_light
TCOD F2B (frozen),59,55,0.9322033898305084,0.838244756312555,0.9733213810286956,7.440677966101695,0.9768361581920904,0.9620184899845918,0.02994350282485876,0.06779661016949153,pick_and_place_simple
TCOD F2B (frozen),58,51,0.8793103448275862,0.7712064595403911,0.9402903395175928,10.189655172413794,0.9591954022988505,0.9563218390804596,0.0367816091954023,0.1206896551724138,pick_clean_then_place_in_recep
TCOD F2B (frozen),46,35,0.7608695652173914,0.6206486144237798,0.8608782222272219,13.0,0.8884057971014493,0.8739130434782608,0.11376811594202897,0.2391304347826087,pick_cool_then_place_in_recep
TCOD F2B (frozen),39,35,0.8974358974358975,0.7642114553714348,0.9593866865533163,9.846153846153847,0.9555555555555555,0.9555555555555555,0.041025641025641026,0.10256410256410256,pick_heat_then_place_in_recep
TCOD F2B (frozen),41,33,0.8048780487804879,0.6598641481293658,0.8976556261484198,14.707317073170731,0.930081300813008,0.9035440971095655,0.07073170731707316,0.1951219512195122,pick_two_obj_and_place
Vanilla OPD (frozen),31,20,0.6451612903225806,0.46947954064368874,0.788833409061346,14.64516129032258,0.9,0.7861889007050297,0.13440860215053763,0.3548387096774194,look_at_obj_in_light
Vanilla OPD (frozen),59,52,0.8813559322033898,0.7747635960001831,0.9413241722420971,8.64406779661017,0.9553672316384181,0.9422444786851567,0.04463276836158192,0.11864406779661017,pick_and_place_simple
Vanilla OPD (frozen),58,51,0.8793103448275862,0.7712064595403911,0.9402903395175928,10.53448275862069,0.9580459770114942,0.9431034482758621,0.04770114942528735,0.1206896551724138,pick_clean_then_place_in_recep
Vanilla OPD (frozen),46,36,0.782608695652174,0.6442631262842105,0.8773909467543746,12.021739130434783,0.9007246376811594,0.9,0.09202898550724638,0.21739130434782608,pick_cool_then_place_in_recep
Vanilla OPD (frozen),39,34,0.8717948717948718,0.7329425662025455,0.9439718246302862,10.384615384615385,0.9478632478632479,0.9401709401709402,0.04786324786324787,0.1282051282051282,pick_heat_then_place_in_recep
Vanilla OPD (frozen),41,25,0.6097560975609756,0.45726856934123794,0.7434385493987647,18.29268292682927,0.859349593495935,0.814179818268771,0.14249163079866092,0.3902439024390244,pick_two_obj_and_place
