relative_turn,delta_teacher_entropy,task_success,model_version
-8,-0.035443287607619056,False,0
-7,-0.04915504623224004,False,0
-6,-0.06367141497229373,False,0
-5,-0.121572820475634,False,0
-4,0.11923460787637336,False,0
-3,-0.17886346733263603,False,0
-2,0.05256550304741198,False,0
-1,0.2031936001387104,False,0
0,0.1812486871081947,False,0
1,0.061037849953002044,False,0
2,0.319770306334819,False,0
3,0.28560158301711075,False,0
4,0.2367415154368298,False,0
5,0.35690800329368916,False,0
6,0.1432117770518267,False,0
7,0.16130687426790963,False,0
8,0.13261419193434015,False,0
9,0.08930309676895526,False,0
-6,0.09355981559547494,False,0
-5,-0.1600215944250975,False,0
-4,0.06646177882962262,False,0
-3,-0.10917516579087888,False,0
-2,0.09335308536501591,False,0
-1,0.2513848436083517,False,0
0,0.17095186882049557,False,0
1,0.14189875287249826,False,0
2,0.14037596179949857,False,0
3,0.06029204532950888,False,0
4,-0.044100887053973914,False,0
5,-0.010066886146252119,False,0
6,0.08211547583041584,False,0
7,0.24956283042238475,False,0
8,0.022434114766968993,False,0
9,0.17396694209381952,False,0
-8,-0.09487388005025177,False,0
-7,0.0006865926988204318,False,0
-6,0.03263696163668617,False,0
-5,0.0876407248172939,False,0
-4,-0.08960394022053286,False,0
-3,-0.0458986505468153,False,0
-2,-0.01901891818814916,False,0
-1,-0.1359411805156489,False,0
-5,0.062455383528992936,False,0
-4,-0.15221399368527944,False,0
-3,0.08975861015628628,False,0
-2,0.15500448342081874,False,0
-1,0.09858084659457589,False,0
0,0.17905720626106347,False,0
1,0.028336500542222254,False,0
2,0.22754486683811492,False,0
3,0.29695628748847547,False,0
4,0.12244432450011489,False,0
5,0.28485142959754395,False,0
6,0.1772204391073524,False,0
7,0.17391082943930292,False,0
8,0.20446993101568744,False,0
9,0.1276680893465243,False,0
-8,-0.1847813788341699,False,0
-7,-0.21742626752805067,False,0
-6,-0.09891541780992574,False,0
-5,-0.06921411905408248,False,0
-4,0.018599453647408004,False,0
-3,-0.09013443451547398,False,0
-2,0.04797183160615626,False,0
-1,0.2881880168903741,False,0
0,0.1296317878936909,False,0
1,0.04076481071288851,False,0
2,0.11622969302268482,False,0
3,0.050865190262191606,False,0
-7,-0.0028406009384260855,False,0
-6,0.008368329401711616,False,0
-5,-0.005527728463285642,False,0
-4,-0.0005856530242874802,False,0
-3,-0.11433181068497777,False,0
-2,0.0037581993794416624,False,0
-1,0.14797147213125006,False,0
0,0.2544033296094953,False,0
1,0.1352289655897132,False,0
2,0.11131063592506296,False,0
3,0.08387327591861393,False,0
4,0.05775775134939576,False,0
5,0.09574703857565248,False,0
6,0.1402896805524403,False,0
7,0.004752723419631288,False,0
8,0.042865874415350946,False,0
9,0.09793502827637468,False,0
10,0.11343781712534085,False,0
11,0.11234109218143828,False,0
12,0.1159672967669989,False,0
-8,0.052136488228908484,False,0
-7,-0.1652551303431663,False,0
-6,0.11311864211425782,False,0
-5,0.1286420010992293,False,0
-4,-0.1704098732783219,False,0
-3,-0.21391459543420407,False,0
-2,0.0996226365427959,False,0
-1,0.1101436467890331,False,0
0,0.2787913681113846,False,0
1,0.1561245462065799,False,0
2,0.19600635108457987,False,0
3,0.21491870262675505,False,0
4,0.16370575345872984,False,0
5,-0.09535900214905413,False,0
6,0.34308281895686443,False,0
7,0.3141082366580019,False,0
8,0.12594712473551428,False,0
9,0.2904592361608235,False,0
10,0.134514617231693,False,0
11,0.36059343855367454,False,0
-4,-0.18360182870811498,False,0
-3,-0.08599180106475096,False,0
-2,0.26959362977286605,False,0
-1,0.07762737122028818,False,0
0,0.15103679083801413,False,0
1,-0.015159226978765705,False,0
2,0.14230234408692555,False,0
3,-0.12876517834725526,False,0
4,0.0605035702378085,False,0
5,-0.09053278936401826,False,0
6,-0.2130658906611277,False,0
7,-0.30729598790610047,False,0
8,-0.25078656776379143,False,0
9,-0.07016404010973643,False,0
10,-0.14178568972534666,False,0
11,-0.05577581499083428,False,0
12,-0.22705348937743258,False,0
13,-0.04702458794754871,False,0
14,-0.2205266780304838,False,0
15,-0.08903272955775116,False,0
-6,-0.2787193628995428,False,0
-5,0.2450798839802948,False,0
-4,0.033639478919248234,False,0
-3,-0.11478791129850796,False,0
-2,-0.06408795387148292,False,0
-1,0.16345052756016087,False,0
0,0.28469810172927845,False,0
1,0.3846605688637499,False,0
2,0.12351686376742543,False,0
3,0.1913415109820752,False,0
4,0.11580651802117337,False,0
5,0.03381691743157511,False,0
6,-0.17673427432240907,False,0
7,0.11506218987525796,False,0
-7,-0.1027243486986541,False,1
-6,-0.051168813451651696,False,1
-5,0.15389316215030574,False,1
-4,0.06725899845958955,False,1
-3,-0.10934307495605328,False,1
-2,0.263516656711598,False,1
-1,0.19320358520524755,False,1
