left,right,split,task_count,both_success,left_only_success,right_only_success,both_failure,mcnemar_exact_pvalue
tau0.050,tau0.075,all,274,199,25,21,29,0.6587380770236564
tau0.050,tau0.075,seen,140,105,12,10,13,0.8318119049072266
tau0.050,tau0.075,unseen,134,94,13,11,16,0.8388197422027588
tau0.050,tau0.100,all,274,211,13,27,23,0.03847730828420026
tau0.050,tau0.100,seen,140,109,8,14,9,0.28627872467041016
tau0.050,tau0.100,unseen,134,102,5,13,14,0.09625244140625
tau0.050,tau0.125,all,274,210,14,16,34,0.855535551905632
tau0.050,tau0.125,seen,140,109,8,9,14,1.0
tau0.050,tau0.125,unseen,134,101,6,7,20,1.0
tau0.075,tau0.100,all,274,213,7,25,29,0.0021024015732109547
tau0.075,tau0.100,seen,140,111,4,12,13,0.076812744140625
tau0.075,tau0.100,unseen,134,102,3,13,16,0.021270751953125
tau0.075,tau0.125,all,274,203,17,23,31,0.42959050784338615
tau0.075,tau0.125,seen,140,105,10,13,12,0.6776394844055176
tau0.075,tau0.125,unseen,134,98,7,10,19,0.629058837890625
tau0.100,tau0.125,all,274,217,21,9,27,0.04277394525706768
tau0.100,tau0.125,seen,140,112,11,6,11,0.332305908203125
tau0.100,tau0.125,unseen,134,105,10,3,16,0.09228515625
