method,step,success_count,success_rate_percent,seen_success_count,seen_success_rate_percent,unseen_success_count,unseen_success_rate_percent,summary
fresh_cosine_t0200,20,38,13.86861313868613,20,14.285714285714285,18,13.432835820895523,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_cosine_t0200/step_20_seed42/summary.json
fresh_cosine_t0200,40,103,37.591240875912405,55,39.285714285714285,48,35.82089552238806,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_cosine_t0200/step_40_seed42/summary.json
fresh_cosine_t0200,60,132,48.175182481751825,68,48.57142857142857,64,47.76119402985074,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_cosine_t0200/step_60_seed42/summary.json
fresh_cosine_t0200,80,127,46.35036496350365,69,49.28571428571429,58,43.28358208955223,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_cosine_t0200/step_80_seed42/summary.json
fresh_cosine_t0200,100,165,60.21897810218978,90,64.28571428571429,75,55.970149253731336,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_cosine_t0200/step_100_seed42/summary.json
fresh_cosine_t0200,120,196,71.53284671532847,107,76.42857142857142,89,66.4179104477612,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_cosine_t0200/step_120_seed42/summary.json
fresh_cosine_t0200,140,207,75.54744525547446,112,80.0,95,70.8955223880597,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_cosine_t0200/step_140_seed42/summary.json
fresh_cosine_t0200,160,218,79.56204379562044,113,80.71428571428572,105,78.35820895522389,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_cosine_t0200/step_160_seed42/summary.json
fresh_cosine_t0200,180,203,74.08759124087592,104,74.28571428571429,99,73.88059701492537,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_cosine_t0200/step_180_seed42/summary.json
fresh_cosine_t0200,200,206,75.18248175182481,112,80.0,94,70.1492537313433,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_cosine_t0200/step_200_seed42/summary.json
fresh_cosine_t0200,220,226,82.48175182481752,122,87.14285714285714,104,77.61194029850746,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_cosine_t0200/step_220_seed42/summary.json
fresh_cosine_t0200,240,220,80.2919708029197,120,85.71428571428571,100,74.6268656716418,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_cosine_t0200/step_240_seed42/summary.json
fresh_cosine_t0200,250,219,79.92700729927007,116,82.85714285714286,103,76.86567164179104,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_cosine_t0200/step_250_seed42/summary.json
