method,step,success_count,success_rate_percent,seen_success_count,seen_success_rate_percent,unseen_success_count,unseen_success_rate_percent,summary
fresh_fixed_t0100,20,58,21.16788321167883,30,21.428571428571427,28,20.8955223880597,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_fixed_t0100/step_20_seed42/summary.json
fresh_fixed_t0100,40,95,34.67153284671533,52,37.142857142857146,43,32.08955223880597,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_fixed_t0100/step_40_seed42/summary.json
fresh_fixed_t0100,60,109,39.78102189781022,58,41.42857142857143,51,38.059701492537314,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_fixed_t0100/step_60_seed42/summary.json
fresh_fixed_t0100,80,121,44.16058394160584,64,45.714285714285715,57,42.53731343283582,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_fixed_t0100/step_80_seed42/summary.json
fresh_fixed_t0100,100,170,62.04379562043796,89,63.57142857142857,81,60.447761194029844,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_fixed_t0100/step_100_seed42/summary.json
fresh_fixed_t0100,120,174,63.503649635036496,97,69.28571428571428,77,57.46268656716418,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_fixed_t0100/step_120_seed42/summary.json
fresh_fixed_t0100,140,199,72.62773722627736,109,77.85714285714286,90,67.16417910447761,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_fixed_t0100/step_140_seed42/summary.json
fresh_fixed_t0100,160,204,74.45255474452554,109,77.85714285714286,95,70.8955223880597,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_fixed_t0100/step_160_seed42/summary.json
fresh_fixed_t0100,180,200,72.99270072992701,109,77.85714285714286,91,67.91044776119402,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_fixed_t0100/step_180_seed42/summary.json
fresh_fixed_t0100,200,210,76.64233576642336,111,79.28571428571428,99,73.88059701492537,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_fixed_t0100/step_200_seed42/summary.json
fresh_fixed_t0100,220,221,80.65693430656934,115,82.14285714285714,106,79.1044776119403,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_fixed_t0100/step_220_seed42/summary.json
fresh_fixed_t0100,240,222,81.02189781021897,120,85.71428571428571,102,76.11940298507463,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_fixed_t0100/step_240_seed42/summary.json
fresh_fixed_t0100,250,227,82.84671532846716,121,86.42857142857143,106,79.1044776119403,runs/experiments/fresh_retrain_all_checkpoint_full274_seed42/fresh_fixed_t0100/step_250_seed42/summary.json
