split,task_type,task_count,tcod_success_count,tcod_success_rate,vanilla_success_count,vanilla_success_rate,delta_tcod_minus_vanilla,tcod_average_rounds,vanilla_average_rounds
seen,look_at_obj_in_light,13,9,0.6923076923076923,9,0.6923076923076923,0.0,12.923076923076923,13.692307692307692
seen,pick_and_place_simple,35,33,0.9428571428571428,33,0.9428571428571428,0.0,6.771428571428571,7.057142857142857
seen,pick_clean_then_place_in_recep,27,26,0.9629629629629629,26,0.9629629629629629,0.0,8.074074074074074,8.518518518518519
seen,pick_cool_then_place_in_recep,25,17,0.68,18,0.72,-0.039999999999999925,15.2,13.56
seen,pick_heat_then_place_in_recep,16,15,0.9375,15,0.9375,0.0,8.75,8.875
seen,pick_two_obj_and_place,24,22,0.9166666666666666,14,0.5833333333333334,0.33333333333333326,12.75,18.375
unseen,look_at_obj_in_light,18,14,0.7777777777777778,11,0.6111111111111112,0.16666666666666663,14.277777777777779,15.333333333333334
unseen,pick_and_place_simple,24,22,0.9166666666666666,19,0.7916666666666666,0.125,8.416666666666666,10.958333333333334
unseen,pick_clean_then_place_in_recep,31,25,0.8064516129032258,25,0.8064516129032258,0.0,12.03225806451613,12.290322580645162
unseen,pick_cool_then_place_in_recep,21,18,0.8571428571428571,18,0.8571428571428571,0.0,10.380952380952381,10.19047619047619
unseen,pick_heat_then_place_in_recep,23,20,0.8695652173913043,19,0.8260869565217391,0.04347826086956519,10.608695652173912,11.434782608695652
unseen,pick_two_obj_and_place,17,11,0.6470588235294118,11,0.6470588235294118,0.0,17.470588235294116,18.176470588235293
