model_version,completion_rate,rounds,kl,task_count
80.0,0.625,17.4375,168.92789806182256,16.0
81.0,0.5,18.1875,169.01937745749578,16.0
83.0,0.125,27.4375,237.0152507203884,16.0
84.0,0.5,17.9375,151.5602383894543,16.0
86.0,0.4375,20.125,159.42281488980768,16.0
87.0,0.6875,14.25,135.27509823395434,16.0
89.0,0.5,18.625,153.04230954263323,16.0
90.0,0.5625,17.25,169.63947479927882,16.0
92.0,0.375,20.8125,191.92988203752844,16.0
93.0,0.3125,22.625,201.52979444066517,16.0
94.0,0.5625,19.25,185.5214346265406,16.0
96.0,0.75,12.9375,123.01371804649295,16.0
97.0,0.5,18.75,163.65100086321456,16.0
99.0,0.5,17.75,142.85148200206422,16.0
100.0,0.625,15.9375,132.26275983255258,16.0
102.0,0.8125,12.6875,145.75782381706114,16.0
103.0,0.75,12.875,124.52739786064623,16.0
105.0,0.6875,14.0625,130.00044201269677,16.0
106.0,0.6875,15.0625,143.50664574698598,16.0
108.0,0.625,16.125,133.86318047762472,16.0
109.0,0.375,21.0,159.778911725106,16.0
111.0,0.75,12.75,140.2777063379688,16.0
113.0,0.625,15.1875,102.05192755134937,16.0
114.0,0.6875,14.4375,137.09328953252785,16.0
116.0,0.75,13.875,110.6882603539967,16.0
117.0,0.8125,13.375,116.73007903308934,16.0
119.0,0.5625,17.625,139.77767449657156,16.0
120.0,0.75,12.3125,104.89717956064851,16.0
122.0,0.625,15.4375,112.230959135481,16.0
123.0,0.6875,15.6875,128.26555110079312,16.0
125.0,0.75,13.5,104.34851171238296,16.0
126.0,0.625,15.8125,104.75643948855426,16.0
128.0,0.5625,17.5,115.6279160496218,16.0
129.0,0.8125,12.875,78.87172207510878,16.0
131.0,0.625,16.125,113.25036412806911,16.0
132.0,0.625,15.0,88.1555492934167,16.0
134.0,0.8125,12.5,81.4096319372763,16.0
135.0,0.5625,17.375,86.94367413191698,16.0
137.0,0.625,16.9375,105.8282850130667,16.0
138.0,0.875,9.5,70.46195878105765,16.0
140.0,0.6875,14.0625,124.61508061604724,16.0
141.0,0.75,12.3125,90.31460967547213,16.0
143.0,0.75,11.875,61.34137958104303,16.0
144.0,0.5,19.3125,100.76902775919731,16.0
146.0,0.6875,14.125,76.46784374185265,16.0
147.0,0.625,15.6875,93.81662333295623,16.0
149.0,0.75,12.25,75.2385220093856,16.0
