model_version,completion_rate,rounds,kl,task_count
0.0,0.0625,29.0625,1155.5706832404294,16.0
2.0,0.125,27.0,958.9273380272856,16.0
3.0,0.125,27.5625,977.2451920073879,16.0
5.0,0.0625,28.9375,977.6187173469011,16.0
6.0,0.125,27.125,860.5230999178588,16.0
8.0,0.0,30.0,758.8737650216303,16.0
9.0,0.125,27.3125,763.749146406182,16.0
11.0,0.1875,25.75,597.2679165115003,16.0
12.0,0.1875,26.5625,547.0863502037876,16.0
14.0,0.0625,29.375,559.4213441698305,16.0
15.0,0.0625,28.5,573.8190173742287,16.0
17.0,0.0625,28.375,382.02964240383324,16.0
18.0,0.0,30.0,470.5251355349253,16.0
20.0,0.0625,29.4375,301.800370676107,16.0
21.0,0.25,25.5625,331.2806761674182,16.0
23.0,0.1875,25.75,290.7574627988592,16.0
24.0,0.125,28.0625,339.9095498457206,16.0
26.0,0.125,27.375,277.9701432558628,16.0
27.0,0.375,22.25,287.47153783033116,16.0
29.0,0.3125,24.125,301.75238180101474,16.0
30.0,0.375,23.9375,306.0076878704301,16.0
32.0,0.3125,23.3125,257.618112391584,16.0
33.0,0.3125,23.5625,266.0123279603516,16.0
35.0,0.375,22.1875,265.7045867200451,16.0
36.0,0.375,22.125,274.9578339421297,16.0
38.0,0.3125,23.125,261.04256536539816,16.0
39.0,0.1875,27.1875,323.5290235480022,16.0
41.0,0.375,21.4375,262.72970049167577,16.0
42.0,0.375,21.875,295.10579254125673,16.0
44.0,0.4375,20.5,303.5342282001726,16.0
46.0,0.4375,21.1875,226.89742602978575,16.0
47.0,0.625,17.9375,234.73319065364072,16.0
49.0,0.4375,20.5,225.37835630120333,16.0
50.0,0.375,21.25,230.8656900984708,16.0
52.0,0.25,25.375,286.196949360208,16.0
53.0,0.3125,23.125,249.05681145440826,16.0
55.0,0.375,22.4375,253.7258233477261,16.0
56.0,0.25,25.375,266.7790149340367,16.0
58.0,0.375,21.25,224.03943957272082,16.0
59.0,0.375,20.375,206.56967706320836,16.0
61.0,0.4375,20.4375,228.5812056949567,16.0
62.0,0.375,22.375,254.53053866939297,16.0
64.0,0.5625,16.875,196.62322479378344,16.0
65.0,0.3125,22.4375,233.0932394775888,16.0
67.0,0.3125,23.75,270.6470939087567,16.0
68.0,0.25,24.9375,263.5008525321066,16.0
