method,explorer_batch,task_in_batch,run_id,trajectory_id,effective_loss_turns,recorded_turns,prompt_truncated,training_order
Vanilla OPD,1,0,0,1/0/0,14,30,True,1
Vanilla OPD,1,1,0,1/1/0,22,30,True,2
Vanilla OPD,1,2,0,1/2/0,8,8,False,3
Vanilla OPD,1,3,0,1/3/0,20,30,True,4
Vanilla OPD,1,4,0,1/4/0,17,30,True,5
Vanilla OPD,1,5,0,1/5/0,20,30,True,6
Vanilla OPD,1,6,0,1/6/0,20,30,True,7
Vanilla OPD,1,7,0,1/7/0,20,30,True,8
Vanilla OPD,1,8,0,1/8/0,18,30,True,9
Vanilla OPD,1,9,0,1/9/0,19,30,True,10
Vanilla OPD,1,10,0,1/10/0,21,30,True,11
Vanilla OPD,1,11,0,1/11/0,14,30,True,12
Vanilla OPD,1,12,0,1/12/0,16,30,True,13
Vanilla OPD,1,13,0,1/13/0,20,30,True,14
Vanilla OPD,1,14,0,1/14/0,15,30,True,15
Vanilla OPD,1,15,0,1/15/0,18,30,True,16
Vanilla OPD,2,0,0,2/0/0,19,30,True,17
Vanilla OPD,2,1,0,2/1/0,17,30,True,18
Vanilla OPD,2,2,0,2/2/0,19,30,True,19
Vanilla OPD,2,3,0,2/3/0,15,15,False,20
Vanilla OPD,2,4,0,2/4/0,19,30,True,21
Vanilla OPD,2,5,0,2/5/0,15,30,True,22
Vanilla OPD,2,6,0,2/6/0,14,30,True,23
Vanilla OPD,2,7,0,2/7/0,20,30,True,24
Vanilla OPD,2,8,0,2/8/0,14,30,True,25
Vanilla OPD,2,9,0,2/9/0,21,30,True,26
Vanilla OPD,2,10,0,2/10/0,20,30,True,27
Vanilla OPD,2,11,0,2/11/0,16,30,True,28
Vanilla OPD,2,12,0,2/12/0,18,30,True,29
Vanilla OPD,2,13,0,2/13/0,14,30,True,30
Vanilla OPD,2,14,0,2/14/0,16,30,True,31
Vanilla OPD,2,15,0,2/15/0,19,30,True,32
Vanilla OPD,3,0,0,3/0/0,15,30,True,33
Vanilla OPD,3,1,0,3/1/0,16,30,True,34
Vanilla OPD,3,2,0,3/2/0,15,30,True,35
Vanilla OPD,3,3,0,3/3/0,19,30,True,36
Vanilla OPD,3,4,0,3/4/0,3,3,False,37
Vanilla OPD,3,5,0,3/5/0,20,30,True,38
Vanilla OPD,3,6,0,3/6/0,14,30,True,39
Vanilla OPD,3,7,0,3/7/0,20,30,True,40
Vanilla OPD,3,8,0,3/8/0,17,30,True,41
Vanilla OPD,3,9,0,3/9/0,16,30,True,42
Vanilla OPD,3,10,0,3/10/0,12,30,True,43
Vanilla OPD,3,11,0,3/11/0,15,30,True,44
Vanilla OPD,3,12,0,3/12/0,13,30,True,45
Vanilla OPD,3,13,0,3/13/0,9,9,False,46
Vanilla OPD,3,14,0,3/14/0,19,30,True,47
Vanilla OPD,3,15,0,3/15/0,18,30,True,48
Vanilla OPD,4,0,0,4/0/0,16,16,False,49
Vanilla OPD,4,1,0,4/1/0,15,30,True,50
Vanilla OPD,4,2,0,4/2/0,18,30,True,51
Vanilla OPD,4,3,0,4/3/0,21,30,True,52
Vanilla OPD,4,4,0,4/4/0,18,30,True,53
Vanilla OPD,4,5,0,4/5/0,18,30,True,54
Vanilla OPD,4,6,0,4/6/0,16,30,True,55
Vanilla OPD,4,7,0,4/7/0,13,30,True,56
Vanilla OPD,4,8,0,4/8/0,18,30,True,57
Vanilla OPD,4,9,0,4/9/0,16,30,True,58
Vanilla OPD,4,10,0,4/10/0,5,5,False,59
Vanilla OPD,4,11,0,4/11/0,14,30,True,60
Vanilla OPD,4,12,0,4/12/0,13,30,True,61
Vanilla OPD,4,13,0,4/13/0,16,30,True,62
Vanilla OPD,4,14,0,4/14/0,18,30,True,63
Vanilla OPD,4,15,0,4/15/0,14,30,True,64
Vanilla OPD,5,0,0,5/0/0,19,30,True,65
Vanilla OPD,5,1,0,5/1/0,15,30,True,66
Vanilla OPD,5,2,0,5/2/0,19,30,True,67
Vanilla OPD,5,3,0,5/3/0,17,30,True,68
Vanilla OPD,5,4,0,5/4/0,15,30,True,69
Vanilla OPD,5,5,0,5/5/0,15,30,True,70
Vanilla OPD,5,6,0,5/6/0,12,30,True,71
Vanilla OPD,5,7,0,5/7/0,15,30,True,72
Vanilla OPD,5,8,0,5/8/0,23,30,True,73
Vanilla OPD,5,9,0,5/9/0,22,30,True,74
Vanilla OPD,5,10,0,5/10/0,19,30,True,75
Vanilla OPD,5,11,0,5/11/0,13,13,False,76
Vanilla OPD,5,12,0,5/12/0,17,30,True,77
Vanilla OPD,5,13,0,5/13/0,18,30,True,78
Vanilla OPD,5,14,0,5/14/0,21,30,True,79
Vanilla OPD,5,15,0,5/15/0,19,30,True,80
Vanilla OPD,6,0,0,6/0/0,7,7,False,81
Vanilla OPD,6,1,0,6/1/0,7,7,False,82
Vanilla OPD,6,2,0,6/2/0,19,30,True,83
Vanilla OPD,6,3,0,6/3/0,21,30,True,84
Vanilla OPD,6,4,0,6/4/0,19,30,True,85
Vanilla OPD,6,5,0,6/5/0,15,30,True,86
Vanilla OPD,6,6,0,6/6/0,15,30,True,87
Vanilla OPD,6,7,0,6/7/0,16,30,True,88
Vanilla OPD,6,8,0,6/8/0,13,30,True,89
Vanilla OPD,6,9,0,6/9/0,20,30,True,90
Vanilla OPD,6,10,0,6/10/0,17,30,True,91
Vanilla OPD,6,11,0,6/11/0,14,30,True,92
Vanilla OPD,6,12,0,6/12/0,15,30,True,93
Vanilla OPD,6,13,0,6/13/0,20,30,True,94
Vanilla OPD,6,14,0,6/14/0,15,30,True,95
Vanilla OPD,6,15,0,6/15/0,19,30,True,96
