outcome,progress_bin,progress_fraction,trajectory_count,student_entropy_topk_mean,teacher_entropy_topk_mean,entropy_teacher_minus_student
failure,0,0.0,977,0.12812195785260339,0.15646742607902506,0.028345468226421672
failure,1,0.1111111111111111,977,0.12785403579100013,0.1546820064887571,0.02682797069775697
failure,2,0.2222222222222222,977,0.13016404098778964,0.15197132747993922,0.02180728649214958
failure,3,0.3333333333333333,977,0.1396014142837591,0.16515755845337024,0.025556144169611134
failure,4,0.4444444444444444,977,0.13599998679692332,0.17049680525480332,0.034496818457879996
failure,5,0.5555555555555556,977,0.12523172247138906,0.16152153512574377,0.036289812654354714
failure,6,0.6666666666666666,977,0.11206347776806692,0.1459945552753647,0.03393107750729778
failure,7,0.7777777777777777,977,0.09750171007114013,0.12803877062904764,0.030537060557907517
failure,8,0.8888888888888888,977,0.0814998404188104,0.10926520373446488,0.02776536331565449
failure,9,1.0,977,0.07387639691041643,0.10042539305234842,0.026548996141931985
success,0,0.0,1439,0.10922008436498422,0.14013402115490747,0.030913936789923255
success,1,0.1111111111111111,1439,0.10929655617454212,0.14086019410927003,0.03156363793472791
success,2,0.2222222222222222,1439,0.1077767262219607,0.1324985519741912,0.02472182575223049
success,3,0.3333333333333333,1439,0.10631689173975702,0.12466256289236816,0.01834567115261114
success,4,0.4444444444444444,1439,0.10195178742744233,0.11550870927235132,0.01355692184490899
success,5,0.5555555555555556,1439,0.09676682853469104,0.10683866246611459,0.010071833931423552
success,6,0.6666666666666666,1439,0.09455538025498986,0.10181356056729145,0.00725818031230159
success,7,0.7777777777777777,1439,0.08899059564987123,0.09384881850174188,0.004858222851870653
success,8,0.8888888888888888,1439,0.07230162045920575,0.07361412190182529,0.001312501442619532
success,9,1.0,1439,0.049079198531863766,0.04519748277311644,-0.0038817157587473228
