diagnostics_step,model_version,source,diagnostics_top_k,row_count,trajectory_count,complete_step,success_count,success_denominator,success_rate,timeout_rate,lost_rate,mean_env_rounds,valid_action_rate,response_tokens_total,mean_response_tokens,student_entropy_topk_mean,teacher_entropy_topk_mean,entropy_teacher_minus_student,student_surprisal_mean,teacher_surprisal_mean,surprisal_teacher_minus_student,sampled_forward_kl_mean,sampled_forward_kl_token_weighted,sampled_forward_kl_sum_mean_per_trajectory,sampled_reverse_kl_mean,sampled_reverse_kl_token_weighted,student_topk_mass_mean,teacher_topk_mass_mean,topk_mass_student_minus_teacher,rollout_success_rate_from_log,rollout_timeout_rate_from_log,rollout_rounds_mean_from_log,rollout_wait_explore_step_sec,rollout_run_execution_mean_sec,rollout_task_execution_mean_sec,experience_pipeline_total_sec
1,0,train,16,200,16,True,9,16,0.5625,0.4375,0.0,17.625,0.765,12463.0,62.315,0.2338331892507534,0.18244322133504348,-0.051389967915709905,0.24836879893978306,0.543270767102432,0.294901968162649,0.2949019681626487,0.29361791516997576,228.71000479771322,0.2949019681626487,0.29361791516997576,0.999004413867828,0.9995998408365927,-0.0005954269687646896,0.5625,,17.625,104.48199224472046,48.55424316227436,48.57491132616997,0.5287795066833496
2,1,train,16,263,16,True,6,16,0.375,0.625,0.0,22.5625,0.7262357414448669,17103.0,65.03041825095058,0.25182161646312523,0.21564528248322495,-0.03617633397990028,0.2675224972705439,0.555935376655331,0.2884128793847871,0.2884128793847867,0.2844327698212831,304.0408538908379,0.2884128793847867,0.2844327698212831,0.9983611035007789,0.9991991609787819,-0.0008380574780030292,0.375,,22.5625,125.30324172973633,73.10317258536816,73.12377721071243,0.6545155048370361
3,3,train,16,221,16,True,8,16,0.5,0.5,0.0,19.8125,0.8778280542986425,13349.0,60.4027149321267,0.26091806770812176,0.21008320171538067,-0.05083486599274109,0.2784815768719116,0.6075660443939163,0.32908446752200465,0.32908446752200493,0.32882610242900256,274.343727582797,0.32908446752200493,0.32882610242900256,0.9988339221194314,0.9995278455208075,-0.0006939234013760842,0.5,,19.8125,120.59861707687378,58.750699773430824,58.76831126213074,0.7581055164337158
4,4,train,16,255,16,True,5,16,0.3125,0.6875,0.0,24.1875,0.7254901960784313,15409.0,60.42745098039216,0.20367738614665715,0.1833255543555181,-0.020351831791139058,0.21295074271202205,0.4916337141710848,0.27868297145906273,0.27868297145906235,0.26740766572863145,257.5302950757801,0.27868297145906235,0.26740766572863145,0.998713294387812,0.9993875695666098,-0.0006742751787978118,0.3125,,24.1875,140.30397081375122,86.12762992084026,86.14849925041199,0.8558917045593262
5,6,train,16,261,16,True,3,16,0.1875,0.8125,0.0,25.125,0.6360153256704981,17560.0,67.27969348659003,0.25176962242323897,0.22505614879873165,-0.026713473624507322,0.2673283304136796,0.5776065471102434,0.3102782166965638,0.3102782166965639,0.3152926290310345,346.03366036156024,0.3102782166965639,0.3152926290310345,0.9985662137017414,0.9992202844793956,-0.0006540707776542254,0.1875,,25.125,142.61822319030762,93.7069178968668,93.72830674052238,0.8223977088928223
6,7,train,16,245,16,True,4,16,0.25,0.75,0.0,23.5,0.6204081632653061,15516.0,63.33061224489796,0.19535372542801385,0.18291232420892464,-0.01244140121908921,0.21204334871834257,0.4845644893535565,0.27252114063521393,0.2725211406352135,0.27457934646092397,266.27332123048103,0.2725211406352135,0.27457934646092397,0.9990101265423034,0.9994200404545814,-0.0004099139122780704,0.25,,23.5,153.7326135635376,82.92261508107185,82.94254404306412,0.7060270309448242
7,9,train,16,213,16,True,4,16,0.25,0.75,0.0,24.0,0.8262910798122066,13179.0,61.87323943661972,0.19080239069587937,0.19128378946918714,0.0004813987733077729,0.19387510259934282,0.4754833957224512,0.28160829312310837,0.2816082931231083,0.2828801085175527,233.00480938455155,0.2816082931231083,0.2828801085175527,0.9992777158576208,0.9995395423980243,-0.00026182654040352027,0.25,,24.0,142.32706451416016,86.62577871978283,86.6606054008007,0.745236873626709
8,10,train,16,218,16,True,7,16,0.4375,0.5625,0.0,20.125,0.7981651376146789,13661.0,62.6651376146789,0.16402277863543088,0.1591309908648926,-0.004891787770538281,0.1659875534897048,0.4435558100302759,0.2775682565405711,0.27756825654057093,0.2752102582326189,234.97795860723812,0.27756825654057093,0.2752102582326189,0.999544328824999,0.9997014682241473,-0.00015713939914829833,0.4375,,20.125,118.59833788871765,59.53964185714722,59.55771489441395,0.6032130718231201
9,12,train,16,237,16,True,5,16,0.3125,0.6875,0.0,22.5,0.7088607594936709,14393.0,60.729957805907176,0.13611952137077235,0.14055413027470573,0.004434608903933379,0.14183506329629775,0.3795763432585839,0.23774127996228617,0.23774127996228642,0.24684091500313737,222.0488306025098,0.23774127996228642,0.24684091500313737,0.9996734381214991,0.9997755718302465,-0.00010213370874734284,0.3125,,22.5,132.50128841400146,73.88181488215923,73.90111349523067,0.722923994064331
10,13,train,16,236,16,True,5,16,0.3125,0.6875,0.0,22.5,0.8135593220338984,15723.0,66.62288135593221,0.12577226580071224,0.14256880024314855,0.01679653444243631,0.1290131647112728,0.358712195023673,0.22969903031240022,0.2296990303124001,0.22848943879079575,224.53371538173013,0.2296990303124001,0.22848943879079575,0.9997495477038604,0.9997717642473863,-2.2216543525965804e-05,0.3125,,22.5,138.9380533695221,73.4004108607769,73.42119710147381,0.8862001895904541
