experience_count,experience_pipeline_total_sec,explorer_step,finished_task_count,model_version,rollout_rounds_mean_from_log,rollout_run_execution_mean_sec,rollout_success_rate_from_log,rollout_task_execution_mean_sec,rollout_wait_explore_step_sec
282.0,0.5287795066833496,1,16.0,0.0,17.625,48.55424316227436,0.5625,48.57491132616997,104.48199224472046
361.0,0.6545155048370361,2,16.0,1.0,22.5625,73.10317258536816,0.375,73.12377721071243,125.30324172973633
317.0,0.7581055164337158,3,16.0,3.0,19.8125,58.750699773430824,0.5,58.76831126213074,120.59861707687378
387.0,0.8558917045593262,4,16.0,4.0,24.1875,86.12762992084026,0.3125,86.14849925041199,140.30397081375122
402.0,0.8223977088928223,5,16.0,6.0,25.125,93.7069178968668,0.1875,93.72830674052238,142.61822319030762
376.0,0.7060270309448242,6,16.0,7.0,23.5,82.92261508107185,0.25,82.94254404306412,153.7326135635376
384.0,0.745236873626709,7,16.0,9.0,24.0,86.62577871978283,0.25,86.6606054008007,142.32706451416016
322.0,0.6032130718231201,8,16.0,10.0,20.125,59.53964185714722,0.4375,59.55771489441395,118.59833788871765
360.0,0.722923994064331,9,16.0,12.0,22.5,73.88181488215923,0.3125,73.90111349523067,132.50128841400146
360.0,0.8862001895904541,10,16.0,13.0,22.5,73.4004108607769,0.3125,73.42119710147381,138.9380533695221
299.0,0.6907856464385986,11,16.0,15.0,18.6875,51.52702422440052,0.5,51.543925777077675,95.27467107772827
380.0,0.6712124347686768,12,16.0,16.0,23.75,88.04748514294624,0.25,88.06754471361637,145.81871509552002
330.0,0.7652249336242676,13,16.0,18.0,20.625,69.17388565838337,0.375,69.19290348887444,144.12171626091003
363.0,0.7731325626373291,14,16.0,19.0,22.6875,76.12849596142769,0.375,76.14860191941261,145.04691815376282
446.0,0.8337349891662598,15,16.0,21.0,27.875,107.135661393404,0.125,107.15868861973286,147.50936555862427
353.0,0.7264578342437744,16,16.0,22.0,22.0625,68.6740363240242,0.375,68.69373500347137,116.49438905715942
334.0,0.647913932800293,17,16.0,24.0,20.875,64.3827865421772,0.375,64.4011716991663,119.0007393360138
319.0,0.6003613471984863,18,16.0,25.0,19.9375,54.384163320064545,0.4375,54.402747109532356,106.9807915687561
383.0,0.739661693572998,19,16.0,27.0,23.9375,85.25705336034298,0.25,85.27794142067432,126.60379791259766
298.0,0.5503408908843994,20,16.0,28.0,18.625,57.018584832549095,0.5,57.03579618036747,120.11716961860657
296.0,0.5868091583251953,21,16.0,30.0,18.5,53.54120272397995,0.5,53.558245941996574,123.59269380569458
345.0,0.8854231834411621,22,16.0,31.0,21.5625,68.87618725001812,0.4375,68.8950355052948,120.90514183044434
384.0,0.8580775260925293,23,16.0,33.0,24.0,89.27617336809635,0.25,89.29675307869911,142.92327165603638
312.0,0.6387584209442139,24,16.0,34.0,19.5,61.45279288291931,0.4375,61.47014869749546,132.8179268836975
314.0,0.6110818386077881,25,16.0,36.0,19.625,61.82311353087425,0.5,61.84078845381737,123.29823613166809
260.0,0.5068752765655518,26,16.0,37.0,16.25,40.70921005308628,0.6875,40.72428238391876,91.67815685272217
255.0,0.5445406436920166,27,16.0,39.0,15.9375,40.114618107676506,0.5625,40.12963326275349,87.77149534225464
349.0,0.8449685573577881,28,16.0,40.0,21.8125,78.55647483468056,0.375,78.57579962909222,138.80800914764404
295.0,0.6068525314331055,29,16.0,42.0,18.4375,57.84392111003399,0.5,57.86106698215008,114.29268097877502
262.0,0.5085909366607666,30,16.0,43.0,16.375,45.84066213667393,0.5625,45.856196984648705,117.11293578147888
327.0,0.6225121021270752,31,16.0,45.0,20.4375,67.16401940584183,0.4375,67.18259620666504,116.0017478466034
221.0,0.42391371726989746,32,16.0,46.0,13.8125,40.1228051930666,0.75,40.13688072562218,112.89214944839478
347.0,0.7857398986816406,33,16.0,48.0,21.6875,64.7689513117075,0.375,64.78806573152542,109.9851930141449
302.0,0.6686556339263916,34,16.0,49.0,18.875,55.654303058981895,0.5,55.67150890827179,120.29121828079224
368.0,0.7337303161621094,35,16.0,51.0,23.0,75.52001990377903,0.375,75.54055505990982,118.0870909690857
302.0,0.5891430377960205,36,16.0,52.0,18.875,61.006121307611465,0.5,61.02358166873455,142.21568322181702
335.0,0.6828746795654297,37,16.0,54.0,20.9375,65.11158514022827,0.375,65.13013754785061,117.93735980987549
339.0,0.6555514335632324,38,16.0,55.0,21.1875,66.27922227978706,0.375,66.29852257668972,137.81467127799988
361.0,0.6590490341186523,39,16.0,57.0,22.5625,80.41978894174099,0.375,80.43950581550598,146.9168417453766
275.0,0.5426070690155029,40,16.0,58.0,17.1875,51.26942925155163,0.5625,51.285450309515,119.2004907131195
388.0,0.8800508975982666,41,16.0,60.0,24.25,83.06202526390553,0.3125,83.08293308317661,140.82401323318481
320.0,0.6684646606445312,42,16.0,61.0,20.0,57.947115540504456,0.4375,57.96517162024975,114.79873919487
249.0,0.5479340553283691,43,16.0,63.0,15.5625,41.51659753918648,0.625,41.53199464082718,91.97740864753723
292.0,0.5828022956848145,44,16.0,64.0,18.25,52.750378742814064,0.5625,52.767397463321686,100.27196645736694
222.0,0.6414079666137695,45,16.0,66.0,13.875,35.14841811358929,0.6875,35.16226464509964,90.36944508552551
266.0,0.5109457969665527,46,16.0,67.0,16.625,49.08471842110157,0.5625,49.10026481747627,114.4923985004425
319.0,0.5887942314147949,47,16.0,68.0,19.9375,73.02612826228142,0.4375,73.0439532995224,145.4133174419403
188.0,0.4014713764190674,48,16.0,70.0,11.75,27.422605738043785,0.8125,27.43502175807953,65.3486897945404
210.0,0.43657684326171875,49,16.0,71.0,13.125,32.8070929646492,0.75,32.82054261863232,87.4750611782074
307.0,0.554027795791626,50,16.0,73.0,19.1875,60.67812378704548,0.5,60.69522522389889,121.29819631576538
248.0,0.48340940475463867,51,16.0,74.0,15.5,41.8295476436615,0.6875,41.84467189013958,94.38461232185364
227.0,0.47412610054016113,52,16.0,76.0,14.1875,36.899040684103966,0.6875,36.91348549723625,87.47772026062012
