trainer_step,time_read_experience_sec,time_train_step_sec,time_step_sec,time_trainer_sync_interval_sec,time_sync_weight_sec,time_save_checkpoint_sec,sample_model_version,sample_task_count,critic_score_mean,perf_throughput_tokens_sec,actor_pg_loss,actor_final_loss,actor_ppo_kl,actor_grad_norm,actor_lr
1,105.43220138549805,12.949811935424805,12.94167447090149,118.58413314819336,0.9235703945159912,,0.0,9.0,1.0,5664.22066671669,0.08930874732322991,0.08930874755606055,0.00038091316673671827,15.726792335510254,1e-06
2,0.04721879959106445,33.89491820335388,33.884492333978415,,,,0.0,3.0,0.125,5938.896708752095,0.02642397820018232,0.0264239780488424,0.000399544618312575,12.448490142822266,1e-06
3,90.85947108268738,21.124937057495117,21.112874936312437,147.60817670822144,1.161778211593628,,1.0,6.0,0.671875,6240.481241775033,0.03800078020763716,0.0380007800246988,4.274912706543026e-05,12.299590110778809,1e-06
4,120.91014313697815,18.394413232803345,18.38447619229555,140.1367735862732,1.2248969078063965,,3.0,8.0,1.0,5983.526473607106,0.05468324090664586,0.05468324044098457,-0.0008817410007395665,14.973403930664062,1e-06
5,0.04714322090148926,34.90507650375366,34.89482657983899,,,,3.0,3.0,0.203125,5902.0210210470195,0.026009022910147905,0.02600902288686484,0.0007998561188287568,10.358409881591797,1e-06
6,105.0397961139679,16.332610607147217,16.32344249635935,157.86550569534302,1.2369754314422607,,4.0,6.0,0.890625,6517.222088645023,0.04652435858733952,0.04652435779571533,0.00046548959653591737,8.724411964416504,1e-06
7,143.0876157283783,34.70171761512756,34.69168518483639,178.52527809143066,1.0448203086853027,,6.0,5.0,0.1875,5932.156333816638,0.024375718319788575,0.024375718343071638,5.920439725741744e-05,10.343582153320312,1e-06
8,0.04482603073120117,36.87936234474182,36.86942347511649,,,,6.0,3.0,0.0,5849.372723323241,0.013364027545321733,0.01336402753209272,0.0005651868960037311,8.252620697021484,1e-06
9,116.19572758674622,29.63430666923523,29.624596890062094,184.1268539428711,2.462394952774048,,7.0,6.0,0.25,6032.014567595537,0.03165164946888884,0.031651649365408555,0.0013472946415681185,14.691134452819824,1e-06
10,141.46900296211243,27.751200199127197,27.7411081045866,169.57285499572754,1.1485381126403809,,9.0,6.0,0.375,6005.383756550651,0.029705737775657326,0.029705737601034343,0.0012396514266583836,11.205047607421875,1e-06
11,0.04932069778442383,43.07954525947571,43.0692197419703,,,,9.0,3.0,0.0,5891.806295081755,0.010816244061667627,0.010816244020437201,0.0005624225862751094,5.2496466636657715,1e-06
12,74.76327466964722,15.104189395904541,15.09377771243453,134.67473673820496,1.774564504623413,,10.0,8.0,0.8125,6458.8866920762175,0.05894191795960069,0.05894191712141037,0.0007270351736224257,14.987701416015625,1e-06
13,132.3057096004486,25.55180025100708,25.53987618163228,158.34350538253784,1.246699333190918,,12.0,7.0,0.46875,5927.31926041487,0.03143653969709703,0.03143653968254512,-0.00010968507422148832,14.178735733032227,1e-06
14,0.05392169952392578,41.11638259887695,41.10396248847246,,,,12.0,3.0,0.0,5813.952853499722,0.011661635270381035,0.011661635231575929,-0.0003454662873991765,8.383830070495605,1e-06
15,97.13484120368958,25.74305558204651,25.731557928025723,165.49458694458008,0.9889013767242432,,13.0,7.0,0.46875,6154.8352588284715,0.0275658200844191,0.027565820069867186,-0.00028268170219192257,12.68130111694336,1e-06
16,95.64026308059692,13.497878313064575,13.489809092134237,110.10717916488647,1.1325664520263672,,15.0,9.0,0.921875,6364.69348184202,0.06536263879388571,0.06536263879388571,0.00015452444858965464,14.148382186889648,1e-06
