diagnostics_step,model_version,source,diagnostics_top_k,row_count,trajectory_count,complete_step,success_count,success_denominator,success_rate,timeout_rate,lost_rate,mean_env_rounds,valid_action_rate,response_tokens_total,mean_response_tokens,student_entropy_topk_mean,teacher_entropy_topk_mean,entropy_teacher_minus_student,student_surprisal_mean,teacher_surprisal_mean,surprisal_teacher_minus_student,sampled_forward_kl_mean,sampled_forward_kl_token_weighted,sampled_forward_kl_sum_mean_per_trajectory,sampled_reverse_kl_mean,sampled_reverse_kl_token_weighted,student_topk_mass_mean,teacher_topk_mass_mean,topk_mass_student_minus_teacher,rollout_success_rate_from_log,rollout_timeout_rate_from_log,rollout_rounds_mean_from_log,rollout_wait_explore_step_sec,rollout_run_execution_mean_sec,rollout_task_execution_mean_sec,experience_pipeline_total_sec
1,1,train,16,468,16,True,1,16,0.0625,0.9375,0.0,29.25,0.8354700854700855,55487.0,118.5619658119658,0.18964325266589446,0.29714918115076433,0.10750592848486987,0.1910131453958703,1.0159151450704933,0.824901999674623,0.8249019999227439,0.7884141670414394,2734.171055414273,0.8249019999227439,0.7884141670414394,0.9997845261242019,0.9995601671710831,0.00022435895311878618,,,,,,,
2,2,train,16,480,16,True,0,16,0.0,1.0,0.0,30.0,0.86875,62017.0,129.20208333333332,0.1956857282698463,0.30559659276625745,0.10991086449641116,0.21017408799127077,1.0389420475054814,0.8287679595142106,0.8287679605971775,0.7747644994934313,3003.0356228177584,0.8287679605971775,0.7747644994934313,0.9994753747082095,0.9993530389391011,0.00012233576910836153,,,,,,,
3,3,train,16,465,16,True,1,16,0.0625,0.9375,0.0,29.0625,0.8494623655913979,56516.0,121.53978494623657,0.193804384870213,0.31110880153767,0.117304416667457,0.20145559516671954,0.9901778271170122,0.7887222319502927,0.788722232291169,0.7586162935365754,2679.6224028445667,0.788722232291169,0.7586162935365754,0.999605803249656,0.9994637561081947,0.00014204714146126562,,,,,,,
4,4,train,16,467,16,True,1,16,0.0625,0.9375,0.0,29.1875,0.8329764453961456,54525.0,116.7558886509636,0.18700217900215915,0.2957848232372993,0.10878264423514017,0.21061111180723097,1.0352231669244234,0.8246120551171925,0.8246120551725613,0.7769646308727023,2647.7497811458825,0.8246120551725613,0.7769646308727023,0.9994461664974539,0.9994211685470749,2.4997950379024303e-05,,,,,,,
5,5,train,16,431,16,True,3,16,0.1875,0.8125,0.0,26.9375,0.7888631090487239,53303.0,123.67285382830626,0.17958434942464788,0.2910006083219867,0.11141625889733883,0.18019883746356968,0.9490067443718784,0.7688079069083087,0.7688079072115531,0.73650133587561,2453.6081691361005,0.7688079072115531,0.73650133587561,0.9996468500201643,0.9994538037633367,0.00019304625682758925,,,,,,,
6,6,train,16,462,16,True,2,16,0.125,0.875,0.0,28.875,0.7987012987012987,54207.0,117.33116883116882,0.17730651930848954,0.2926336888032904,0.11532716949480085,0.1910503058838326,0.9834140597593272,0.7923637538754946,0.7923637547470357,0.7576230924677418,2566.7796858374318,0.7923637547470357,0.7576230924677418,0.9997449162645726,0.9995314597558618,0.00021345650871085198,,,,,,,
7,7,train,16,480,16,True,0,16,0.0,1.0,0.0,30.0,0.8104166666666667,58673.0,122.23541666666667,0.1860726069364364,0.30132125393240516,0.11524864699596876,0.20945689014583285,1.0164159697986195,0.8069590796527866,0.8069590804705591,0.7480620173656028,2743.1901715557515,0.8069590804705591,0.7480620173656028,0.9994679455516137,0.9993366318726821,0.0001313136789315994,,,,,,,
8,8,train,16,452,16,True,2,16,0.125,0.875,0.0,28.25,0.8097345132743363,53787.0,118.99778761061947,0.17306213432843195,0.2757964256961149,0.10273429136768295,0.19498173064388188,0.9696489915254976,0.7746672608816156,0.7746672609251132,0.7324943895293904,2462.417233101083,0.7746672609251132,0.7324943895293904,0.999720338375548,0.9995773045762762,0.000143033799271719,,,,,,,
9,9,train,16,460,16,True,1,16,0.0625,0.9375,0.0,28.75,0.7869565217391304,55274.0,120.1608695652174,0.18409176307308495,0.2941200782562054,0.11002831518312045,0.2073163705355779,0.9815711715284713,0.7742548009928933,0.7742548015901776,0.7422554258634961,2564.214150573677,0.7742548015901776,0.7422554258634961,0.9996313001034102,0.9993168309689014,0.0003144691345087214,,,,,,,
10,10,train,16,463,16,True,2,16,0.125,0.875,0.0,28.9375,0.8272138228941684,59606.0,128.73866090712744,0.17287063321580848,0.2858039694382467,0.11293333622243823,0.1871599813886754,0.9693319214645811,0.7821719400759057,0.7821719408052494,0.7471023690686576,2783.236488169148,0.7821719408052494,0.7471023690686576,0.9998124341047541,0.9996202879070359,0.0001921461977181238,,,,,,,
