turn,trajectory_count,success_trajectory_count,failure_trajectory_count,student_entropy_topk_mean,teacher_entropy_topk_mean,entropy_teacher_minus_student,student_surprisal_mean,teacher_surprisal_mean,sampled_reverse_kl_mean,sampled_reverse_kl_token_weighted,student_topk_mass_mean,teacher_topk_mass_mean,valid_action_rate,mean_response_tokens
0,8000,913,7087,0.2161085524394023,0.15524597922701563,-0.06086257321238667,0.2187908613998234,1.045297048316426,0.8265061871706897,0.8068800607906936,0.9998948150365665,0.9999184048237253,0.97375,113.829
1,8000,913,7087,0.25355455367175134,0.23899289788774467,-0.014561655784006672,0.2589701207861883,0.9892401165300365,0.7302699957521771,0.7321043365026559,0.9999006017392338,0.999852209529046,0.9805,136.341125
2,8000,913,7087,0.1951828677493956,0.16323058545859265,-0.031952282290802964,0.20163549529247957,1.032970443907235,0.8313349486369872,0.8071957201010216,0.999952755901558,0.9999493305297371,0.8495,108.916125
3,7995,908,7087,0.19608597217952375,0.21635221734716986,0.020266245167646108,0.19867343604998236,0.8606371371219419,0.6619637013277541,0.6466148020843097,0.9999523398621473,0.9998542182479491,0.8870544090056285,119.00612883051907
4,7916,829,7087,0.20659585113459644,0.2292856900356251,0.02268983890102866,0.2107675621319242,0.8676589398622631,0.6568913779266377,0.6361951102830433,0.9999430586953185,0.9998164370561019,0.8705154118241536,124.76174835775645
5,7849,762,7087,0.21176908760078736,0.2354715796616025,0.02370249206081515,0.2153477637535436,0.8595164601084152,0.6441686965345792,0.626433408982164,0.9999409573470679,0.9998238022355309,0.8545037584405657,127.07618804943304
6,7796,709,7087,0.2132466679683562,0.24402359205137694,0.03077692408302074,0.2206737324933716,0.8529738521607241,0.6323001198104932,0.6154432377624527,0.9999340233546395,0.9997908693050459,0.8435094920472037,128.20613134940996
7,7750,663,7087,0.21499904331278055,0.25221445288664257,0.03721540957386202,0.21829881636702597,0.8318445653997147,0.6135457491926202,0.5974563964535253,0.999944646453709,0.9997784390029804,0.836258064516129,129.84709677419355
8,7715,628,7087,0.21824525935248615,0.2592757934333352,0.04103053408084903,0.2238450573036134,0.8271680518483355,0.6033229946244124,0.5882431151010432,0.999942409083589,0.9997599744603133,0.8281270252754375,130.94154244977318
9,7685,598,7087,0.21809725171485705,0.2659840893865298,0.04788683767167273,0.2255744528625107,0.8131986437734176,0.5876241909942754,0.5729404217046095,0.9999417834764945,0.9997227896390695,0.8270657124268055,130.43890696161353
10,7651,564,7087,0.21841404915814228,0.2700762878775054,0.05166223871936315,0.22749154455892792,0.8076930968143564,0.5802015524848654,0.5653878994852155,0.9999394732878065,0.9997219873292486,0.8191086132531695,132.47340216965102
11,7606,519,7087,0.2211969989174375,0.2827253179131542,0.0615283189957167,0.2290405454859266,0.7906854796102504,0.561644934297727,0.5469716925294963,0.9999394529028406,0.999651546849922,0.8100184065211675,136.42216671049172
12,7584,497,7087,0.21789213594784512,0.28352577882219376,0.06563364287434864,0.22178110939332965,0.7779145989995344,0.5561334897108452,0.5429177568705956,0.9999419983368871,0.9996734908719955,0.823707805907173,133.58082805907173
13,7556,469,7087,0.21877255020223563,0.30172057708856215,0.08294802688632652,0.2282437258346518,0.7550241411259593,0.5267804154542988,0.5148335447517666,0.9999324248293621,0.9995862250118384,0.8254367390153521,133.93753308628905
14,7529,442,7087,0.21980664700205393,0.3066266063199325,0.08681995931787856,0.22317581149598528,0.7419536631323255,0.5187778518328594,0.5080567806460159,0.9999301412950503,0.9995538688940244,0.8212245982202152,134.87634480010627
